hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
507,128,3,amsterdam,4,irish,1,78428,1
417,180,0,amsterdam,4,irish,1,78428,1
806,272,12,amsterdam,4,irish,1,78428,1
680,153,0,amsterdam,4,irish,1,78428,1
548,295,6,amsterdam,4,irish,1,78428,1
163,243,3,amsterdam,4,irish,1,78428,1
658,180,0,amsterdam,4,irish,1,78428,1
269,154,0,amsterdam,4,irish,1,78428,1
103,183,13,amsterdam,4,irish,1,78428,1
366,80,0,amsterdam,4,irish,1,78428,1
352,101,19,amsterdam,4,irish,1,78428,1
82,110,0,amsterdam,4,irish,1,78428,1
441,215,6,amsterdam,4,irish,1,78428,1
450,174,22,amsterdam,4,irish,1,78428,1
743,175,0,amsterdam,4,irish,1,78428,1
891,124,4,amsterdam,4,irish,1,78428,1
517,175,3,amsterdam,4,irish,1,78428,1
218,298,3,amsterdam,4,irish,1,78428,1
271,83,0,amsterdam,4,irish,1,78428,1
628,153,0,amsterdam,4,irish,1,78428,1
835,104,28,amsterdam,4,irish,1,78428,1
410,129,3,amsterdam,4,irish,1,78428,1
925,126,0,amsterdam,4,irish,1,78428,1
588,176,0,amsterdam,4,irish,1,78428,1
510,359,6,amsterdam,4,irish,1,78428,1
283,116,3,amsterdam,4,irish,1,78428,1
234,177,0,amsterdam,4,irish,1,78428,1
303,215,0,amsterdam,4,irish,1,78428,1
223,153,0,amsterdam,4,irish,1,78428,1
971,180,4,amsterdam,4,irish,1,78428,1
12,80,0,amsterdam,4,irish,1,78428,1
264,81,0,amsterdam,4,irish,1,78428,1
880,131,0,amsterdam,4,irish,1,78428,1
778,110,0,amsterdam,4,irish,1,78428,1
715,177,0,amsterdam,4,irish,1,78428,1
193,150,1,amsterdam,4,irish,1,78428,1
10,154,0,amsterdam,4,irish,1,78428,1
724,301,5,amsterdam,4,irish,1,78428,1
567,93,0,amsterdam,4,irish,1,78428,1
429,253,15,amsterdam,4,irish,1,78428,1
45,178,0,amsterdam,4,irish,1,78428,1
317,206,5,amsterdam,4,irish,1,78428,1
16,180,0,amsterdam,4,irish,1,78428,1
146,215,4,amsterdam,4,irish,1,78428,1
750,114,8,amsterdam,4,irish,1,78428,1
140,187,1,amsterdam,4,irish,1,78428,1
375,107,0,amsterdam,4,irish,1,78428,1
745,105,2,amsterdam,4,irish,1,78428,1
172,133,0,amsterdam,4,irish,1,78428,1
482,81,0,amsterdam,4,irish,1,78428,1
603,363,4,amsterdam,4,irish,1,78428,1
256,79,0,amsterdam,4,irish,1,78428,1
676,89,1,amsterdam,4,irish,1,78428,1
594,427,4,amsterdam,4,irish,1,78428,1
960,413,4,amsterdam,4,irish,1,78428,1
34,80,0,amsterdam,4,irish,1,78428,1
505,110,0,amsterdam,4,irish,1,78428,1
779,241,3,amsterdam,4,irish,1,78428,1
867,150,0,amsterdam,4,irish,1,78428,1
117,93,2,amsterdam,4,irish,1,78428,1
762,177,4,amsterdam,4,irish,1,78428,1
85,159,2,amsterdam,4,irish,1,78428,1
455,178,10,amsterdam,4,irish,1,78428,1
660,175,0,amsterdam,4,irish,1,78428,1
783,101,0,amsterdam,4,irish,1,78428,1
224,145,6,amsterdam,4,irish,1,78428,1
9,86,0,amsterdam,4,irish,1,78428,1
460,84,0,amsterdam,4,irish,1,78428,1
214,300,3,amsterdam,4,irish,1,78428,1
475,107,0,amsterdam,4,irish,1,78428,1
230,185,2,amsterdam,4,irish,1,78428,1
101,404,4,amsterdam,4,irish,1,78428,1
311,104,15,amsterdam,4,irish,1,78428,1
917,410,4,amsterdam,4,irish,1,78428,1
111,148,4,amsterdam,4,irish,1,78428,1
933,153,0,amsterdam,4,irish,1,78428,1
591,319,8,amsterdam,4,irish,1,78428,1
777,182,0,amsterdam,4,irish,1,78428,1
83,178,4,amsterdam,4,irish,1,78428,1
442,194,5,amsterdam,4,irish,1,78428,1
581,151,0,amsterdam,4,irish,1,78428,1
22,177,0,amsterdam,4,irish,1,78428,1
587,154,0,amsterdam,4,irish,1,78428,1
630,156,0,amsterdam,4,irish,1,78428,1
387,422,4,amsterdam,4,irish,1,78428,1
493,178,0,amsterdam,4,irish,1,78428,1
821,111,0,amsterdam,4,irish,1,78428,1
892,282,3,amsterdam,4,irish,1,78428,1
515,413,4,amsterdam,4,irish,1,78428,1
674,136,0,amsterdam,4,irish,1,78428,1
105,177,4,amsterdam,4,irish,1,78428,1
557,113,0,amsterdam,4,irish,1,78428,1
967,80,0,amsterdam,4,irish,1,78428,1
373,182,2,amsterdam,4,irish,1,78428,1
52,177,2,amsterdam,4,irish,1,78428,1
921,93,4,amsterdam,4,irish,1,78428,1
307,128,3,amsterdam,4,irish,1,78428,1
86,113,0,amsterdam,4,irish,1,78428,1
604,131,2,amsterdam,4,irish,1,78428,1
585,76,5,amsterdam,4,irish,1,78428,1
570,109,0,amsterdam,4,irish,1,78428,1
657,260,3,amsterdam,4,irish,1,78428,1
158,180,4,amsterdam,4,irish,1,78428,1
157,301,6,amsterdam,4,irish,1,78428,1
969,85,0,amsterdam,4,irish,1,78428,1
326,290,5,amsterdam,4,irish,1,78428,1
369,76,0,amsterdam,4,irish,1,78428,1
945,182,0,amsterdam,4,irish,1,78428,1
809,412,4,amsterdam,4,irish,1,78428,1
627,107,0,amsterdam,4,irish,1,78428,1
196,111,0,amsterdam,4,irish,1,78428,1
211,150,0,amsterdam,4,irish,1,78428,1
878,110,0,amsterdam,4,irish,1,78428,1
760,277,3,amsterdam,4,irish,1,78428,1
679,153,0,amsterdam,4,irish,1,78428,1
902,213,6,amsterdam,4,irish,1,78428,1
788,110,0,amsterdam,4,irish,1,78428,1
916,136,3,amsterdam,4,irish,1,78428,1
706,128,0,amsterdam,4,irish,1,78428,1
752,408,4,amsterdam,4,irish,1,78428,1
807,412,4,amsterdam,4,irish,1,78428,1
835,104,88,amsterdam,40,irish,0,78486,1
212,173,148,amsterdam,40,irish,0,78486,1
218,171,143,amsterdam,40,irish,0,78486,1
945,143,115,amsterdam,40,irish,0,78486,1
960,239,218,amsterdam,40,irish,0,78486,1
902,168,153,amsterdam,40,irish,0,78486,1
