hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
475,98,60,amsterdam,33,italian,1,78526,1
52,151,66,amsterdam,33,italian,1,78526,1
783,87,25,amsterdam,33,italian,1,78526,1
529,232,142,amsterdam,33,italian,1,78526,1
83,147,64,amsterdam,33,italian,1,78526,1
450,174,101,amsterdam,33,italian,1,78526,1
493,153,65,amsterdam,33,italian,1,78526,1
971,141,67,amsterdam,33,italian,1,78526,1
706,109,49,amsterdam,33,italian,1,78526,1
724,247,123,amsterdam,33,italian,1,78526,1
925,99,54,amsterdam,33,italian,1,78526,1
441,177,90,amsterdam,33,italian,1,78526,1
22,158,60,amsterdam,33,italian,1,78526,1
630,146,80,amsterdam,33,italian,1,78526,1
806,250,129,amsterdam,33,italian,1,78526,1
193,141,62,amsterdam,33,italian,1,78526,1
264,74,27,amsterdam,33,italian,1,78526,1
12,78,26,amsterdam,33,italian,1,78526,1
101,255,126,amsterdam,33,italian,1,78526,1
146,169,92,amsterdam,33,italian,1,78526,1
465,228,150,amsterdam,33,italian,1,78526,1
429,232,141,amsterdam,33,italian,1,78526,1
891,105,28,amsterdam,33,italian,1,78526,1
777,143,76,amsterdam,33,italian,1,78526,1
105,151,63,amsterdam,33,italian,1,78526,1
373,105,56,amsterdam,33,italian,1,78526,1
807,248,130,amsterdam,33,italian,1,78526,1
82,106,54,amsterdam,33,italian,1,78526,1
921,76,60,amsterdam,33,italian,1,78526,1
223,144,65,amsterdam,33,italian,1,78526,1
788,106,65,amsterdam,33,italian,1,78526,1
9,86,68,amsterdam,33,italian,1,78526,1
271,79,27,amsterdam,33,italian,1,78526,1
587,154,64,amsterdam,33,italian,1,78526,1
352,101,67,amsterdam,33,italian,1,78526,1
218,185,92,amsterdam,33,italian,1,78526,1
515,250,134,amsterdam,33,italian,1,78526,1
594,235,173,amsterdam,33,italian,1,78526,1
211,150,72,amsterdam,33,italian,1,78526,1
346,168,97,amsterdam,33,italian,1,78526,1
234,138,70,amsterdam,33,italian,1,78526,1
369,74,27,amsterdam,33,italian,1,78526,1
375,103,54,amsterdam,33,italian,1,78526,1
660,156,60,amsterdam,33,italian,1,78526,1
917,259,141,amsterdam,33,italian,1,78526,1
585,76,32,amsterdam,33,italian,1,78526,1
591,237,143,amsterdam,33,italian,1,78526,1
603,249,123,amsterdam,33,italian,1,78526,1
103,183,96,amsterdam,33,italian,1,78526,1
918,259,132,amsterdam,33,italian,1,78526,1
212,180,85,amsterdam,33,italian,1,78526,1
628,153,76,amsterdam,33,italian,1,78526,1
317,162,99,amsterdam,33,italian,1,78526,1
658,160,68,amsterdam,33,italian,1,78526,1
311,104,37,amsterdam,33,italian,1,78526,1
10,154,66,amsterdam,33,italian,1,78526,1
676,69,27,amsterdam,33,italian,1,78526,1
303,169,108,amsterdam,33,italian,1,78526,1
581,148,33,amsterdam,33,italian,1,78526,1
960,261,127,amsterdam,33,italian,1,78526,1
460,84,28,amsterdam,33,italian,1,78526,1
430,160,114,amsterdam,33,italian,1,78526,1
821,105,56,amsterdam,33,italian,1,78526,1
867,141,56,amsterdam,33,italian,1,78526,1
778,108,54,amsterdam,33,italian,1,78526,1
880,112,52,amsterdam,33,italian,1,78526,1
745,105,32,amsterdam,33,italian,1,78526,1
779,181,98,amsterdam,33,italian,1,78526,1
548,232,159,amsterdam,33,italian,1,78526,1
945,143,85,amsterdam,33,italian,1,78526,1
387,232,138,amsterdam,33,italian,1,78526,1
166,106,70,amsterdam,33,italian,1,78526,1
567,76,25,amsterdam,33,italian,1,78526,1
507,105,45,amsterdam,33,italian,1,78526,1
442,163,106,amsterdam,33,italian,1,78526,1
674,122,53,amsterdam,33,italian,1,78526,1
283,98,56,amsterdam,33,italian,1,78526,1
77,248,136,amsterdam,33,italian,1,78526,1
214,173,92,amsterdam,33,italian,1,78526,1
163,170,96,amsterdam,33,italian,1,78526,1
557,113,56,amsterdam,33,italian,1,78526,1
752,236,137,amsterdam,33,italian,1,78526,1
835,104,69,amsterdam,33,italian,1,78526,1
326,238,135,amsterdam,33,italian,1,78526,1
762,151,64,amsterdam,33,italian,1,78526,1
625,177,91,amsterdam,33,italian,1,78526,1
157,247,124,amsterdam,33,italian,1,78526,1
307,105,54,amsterdam,33,italian,1,78526,1
85,100,58,amsterdam,33,italian,1,78526,1
510,261,139,amsterdam,33,italian,1,78526,1
679,153,67,amsterdam,33,italian,1,78526,1
685,249,126,amsterdam,33,italian,1,78526,1
16,160,62,amsterdam,33,italian,1,78526,1
680,147,30,amsterdam,33,italian,1,78526,1
158,141,72,amsterdam,33,italian,1,78526,1
933,153,71,amsterdam,33,italian,1,78526,1
902,168,113,amsterdam,33,italian,1,78526,1
196,107,25,amsterdam,33,italian,1,78526,1
