hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
788,112,0,amsterdam,17,maltese,1,85998,2
594,240,54,amsterdam,17,maltese,1,85998,2
809,273,29,amsterdam,17,maltese,1,85998,2
16,184,0,amsterdam,17,maltese,1,85998,2
475,109,13,amsterdam,17,maltese,1,85998,2
482,83,2,amsterdam,17,maltese,1,85998,2
891,127,7,amsterdam,17,maltese,1,85998,2
193,153,15,amsterdam,17,maltese,1,85998,2
902,202,25,amsterdam,17,maltese,1,85998,2
515,344,24,amsterdam,17,maltese,1,85998,2
264,82,1,amsterdam,17,maltese,1,85998,2
429,258,41,amsterdam,17,maltese,1,85998,2
916,111,16,amsterdam,17,maltese,1,85998,2
603,275,28,amsterdam,17,maltese,1,85998,2
745,107,14,amsterdam,17,maltese,1,85998,2
657,181,23,amsterdam,17,maltese,1,85998,2
82,112,16,amsterdam,17,maltese,1,85998,2
373,117,12,amsterdam,17,maltese,1,85998,2
517,119,20,amsterdam,17,maltese,1,85998,2
679,156,13,amsterdam,17,maltese,1,85998,2
88,136,10,amsterdam,17,maltese,1,85998,2
283,109,14,amsterdam,17,maltese,1,85998,2
10,157,14,amsterdam,17,maltese,1,85998,2
510,277,41,amsterdam,17,maltese,1,85998,2
83,181,16,amsterdam,17,maltese,1,85998,2
465,264,33,amsterdam,17,maltese,1,85998,2
103,187,42,amsterdam,17,maltese,1,85998,2
223,156,0,amsterdam,17,maltese,1,85998,2
967,81,22,amsterdam,17,maltese,1,85998,2
971,184,16,amsterdam,17,maltese,1,85998,2
777,186,16,amsterdam,17,maltese,1,85998,2
387,269,28,amsterdam,17,maltese,1,85998,2
230,127,11,amsterdam,17,maltese,1,85998,2
163,180,33,amsterdam,17,maltese,1,85998,2
752,274,29,amsterdam,17,maltese,1,85998,2
326,275,33,amsterdam,17,maltese,1,85998,2
969,82,11,amsterdam,17,maltese,1,85998,2
460,86,0,amsterdam,17,maltese,1,85998,2
234,180,16,amsterdam,17,maltese,1,85998,2
158,157,19,amsterdam,17,maltese,1,85998,2
743,172,21,amsterdam,17,maltese,1,85998,2
493,181,14,amsterdam,17,maltese,1,85998,2
311,106,22,amsterdam,17,maltese,1,85998,2
570,111,12,amsterdam,17,maltese,1,85998,2
933,156,4,amsterdam,17,maltese,1,85998,2
117,77,9,amsterdam,17,maltese,1,85998,2
34,81,6,amsterdam,17,maltese,1,85998,2
676,90,6,amsterdam,17,maltese,1,85998,2
111,151,10,amsterdam,17,maltese,1,85998,2
253,264,35,amsterdam,17,maltese,1,85998,2
77,283,27,amsterdam,17,maltese,1,85998,2
807,294,25,amsterdam,17,maltese,1,85998,2
85,121,11,amsterdam,17,maltese,1,85998,2
604,134,13,amsterdam,17,maltese,1,85998,2
567,95,6,amsterdam,17,maltese,1,85998,2
45,181,14,amsterdam,17,maltese,1,85998,2
585,77,18,amsterdam,17,maltese,1,85998,2
674,124,17,amsterdam,17,maltese,1,85998,2
105,180,16,amsterdam,17,maltese,1,85998,2
706,130,8,amsterdam,17,maltese,1,85998,2
375,109,11,amsterdam,17,maltese,1,85998,2
806,277,39,amsterdam,17,maltese,1,85998,2
821,113,15,amsterdam,17,maltese,1,85998,2
588,180,0,amsterdam,17,maltese,1,85998,2
587,157,0,amsterdam,17,maltese,1,85998,2
878,112,22,amsterdam,17,maltese,1,85998,2
101,335,24,amsterdam,17,maltese,1,85998,2
867,150,14,amsterdam,17,maltese,1,85998,2
548,237,53,amsterdam,17,maltese,1,85998,2
366,81,3,amsterdam,17,maltese,1,85998,2
86,115,0,amsterdam,17,maltese,1,85998,2
166,123,16,amsterdam,17,maltese,1,85998,2
750,116,10,amsterdam,17,maltese,1,85998,2
760,206,19,amsterdam,17,maltese,1,85998,2
256,81,4,amsterdam,17,maltese,1,85998,2
685,296,25,amsterdam,17,maltese,1,85998,2
417,184,16,amsterdam,17,maltese,1,85998,2
917,286,31,amsterdam,17,maltese,1,85998,2
157,307,32,amsterdam,17,maltese,1,85998,2
271,84,0,amsterdam,17,maltese,1,85998,2
762,180,17,amsterdam,17,maltese,1,85998,2
218,212,18,amsterdam,17,maltese,1,85998,2
783,103,1,amsterdam,17,maltese,1,85998,2
779,193,29,amsterdam,17,maltese,1,85998,2
628,156,26,amsterdam,17,maltese,1,85998,2
346,202,22,amsterdam,17,maltese,1,85998,2
892,233,16,amsterdam,17,maltese,1,85998,2
211,153,0,amsterdam,17,maltese,1,85998,2
581,154,12,amsterdam,17,maltese,1,85998,2
317,203,24,amsterdam,17,maltese,1,85998,2
945,165,19,amsterdam,17,maltese,1,85998,2
505,112,13,amsterdam,17,maltese,1,85998,2
680,156,5,amsterdam,17,maltese,1,85998,2
214,214,18,amsterdam,17,maltese,1,85998,2
625,195,29,amsterdam,17,maltese,1,85998,2
12,81,5,amsterdam,17,maltese,1,85998,2
921,95,16,amsterdam,17,maltese,1,85998,2
442,181,23,amsterdam,17,maltese,1,85998,2
352,103,38,amsterdam,17,maltese,1,85998,2
660,178,14,amsterdam,17,maltese,1,85998,2
303,220,21,amsterdam,17,maltese,1,85998,2
212,222,17,amsterdam,17,maltese,1,85998,2
960,287,27,amsterdam,17,maltese,1,85998,2
918,317,30,amsterdam,17,maltese,1,85998,2
925,128,11,amsterdam,17,maltese,1,85998,2
9,87,0,amsterdam,17,maltese,1,85998,2
835,106,40,amsterdam,17,maltese,1,85998,2
269,157,5,amsterdam,17,maltese,1,85998,2
224,147,32,amsterdam,17,maltese,1,85998,2
172,136,12,amsterdam,17,maltese,1,85998,2
778,112,0,amsterdam,17,maltese,1,85998,2
557,116,0,amsterdam,17,maltese,1,85998,2
307,130,13,amsterdam,17,maltese,1,85998,2
724,307,31,amsterdam,17,maltese,1,85998,2
450,177,50,amsterdam,17,maltese,1,85998,2
430,163,47,amsterdam,17,maltese,1,85998,2
196,113,0,amsterdam,17,maltese,1,85998,2
146,188,24,amsterdam,17,maltese,1,85998,2
507,130,14,amsterdam,17,maltese,1,85998,2
369,78,0,amsterdam,17,maltese,1,85998,2
627,109,0,amsterdam,17,maltese,1,85998,2
52,180,15,amsterdam,17,maltese,1,85998,2
