hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
300,119,54,copenhagen,34,latvian,1,78440,1
893,205,97,copenhagen,34,latvian,1,78440,1
32,182,76,copenhagen,34,latvian,1,78440,1
826,196,107,copenhagen,34,latvian,1,78440,1
367,96,31,copenhagen,34,latvian,1,78440,1
539,277,151,copenhagen,34,latvian,1,78440,1
402,134,54,copenhagen,34,latvian,1,78440,1
110,165,68,copenhagen,34,latvian,1,78440,1
690,206,107,copenhagen,34,latvian,1,78440,1
989,93,30,copenhagen,34,latvian,1,78440,1
50,127,55,copenhagen,34,latvian,1,78440,1
898,86,34,copenhagen,34,latvian,1,78440,1
153,208,98,copenhagen,34,latvian,1,78440,1
994,163,81,copenhagen,34,latvian,1,78440,1
350,308,147,copenhagen,34,latvian,1,78440,1
772,292,125,copenhagen,34,latvian,1,78440,1
463,101,28,copenhagen,34,latvian,1,78440,1
332,208,107,copenhagen,34,latvian,1,78440,1
834,95,25,copenhagen,34,latvian,1,78440,1
60,94,30,copenhagen,34,latvian,1,78440,1
113,89,33,copenhagen,34,latvian,1,78440,1
655,267,149,copenhagen,34,latvian,1,78440,1
691,85,64,copenhagen,34,latvian,1,78440,1
622,122,65,copenhagen,34,latvian,1,78440,1
78,264,144,copenhagen,34,latvian,1,78440,1
711,124,55,copenhagen,34,latvian,1,78440,1
385,271,147,copenhagen,34,latvian,1,78440,1
990,164,76,copenhagen,34,latvian,1,78440,1
983,88,33,copenhagen,34,latvian,1,78440,1
497,201,94,copenhagen,34,latvian,1,78440,1
309,96,63,copenhagen,34,latvian,1,78440,1
518,117,58,copenhagen,34,latvian,1,78440,1
532,204,101,copenhagen,34,latvian,1,78440,1
876,115,56,copenhagen,34,latvian,1,78440,1
707,286,144,copenhagen,34,latvian,1,78440,1
531,174,74,copenhagen,34,latvian,1,78440,1
761,119,64,copenhagen,34,latvian,1,78440,1
562,206,100,copenhagen,34,latvian,1,78440,1
541,124,59,copenhagen,34,latvian,1,78440,1
669,203,102,copenhagen,34,latvian,1,78440,1
243,93,29,copenhagen,34,latvian,1,78440,1
757,124,54,copenhagen,34,latvian,1,78440,1
100,91,30,copenhagen,34,latvian,1,78440,1
720,267,163,copenhagen,34,latvian,1,78440,1
401,168,72,copenhagen,34,latvian,1,78440,1
251,164,28,copenhagen,34,latvian,1,78440,1
616,170,71,copenhagen,34,latvian,1,78440,1
422,288,141,copenhagen,34,latvian,1,78440,1
289,114,58,copenhagen,34,latvian,1,78440,1
770,201,102,copenhagen,34,latvian,1,78440,1
506,121,31,copenhagen,34,latvian,1,78440,1
716,123,59,copenhagen,34,latvian,1,78440,1
829,187,72,copenhagen,34,latvian,1,78440,1
556,182,78,copenhagen,34,latvian,1,78440,1
908,313,134,copenhagen,34,latvian,1,78440,1
91,122,28,copenhagen,34,latvian,1,78440,1
487,173,76,copenhagen,34,latvian,1,78440,1
23,162,76,copenhagen,34,latvian,1,78440,1
959,196,103,copenhagen,34,latvian,1,78440,1
58,203,99,copenhagen,34,latvian,1,78440,1
872,97,32,copenhagen,34,latvian,1,78440,1
445,93,29,copenhagen,34,latvian,1,78440,1
688,87,62,copenhagen,34,latvian,1,78440,1
425,190,116,copenhagen,34,latvian,1,78440,1
793,160,32,copenhagen,34,latvian,1,78440,1
844,269,149,copenhagen,34,latvian,1,78440,1
280,122,76,copenhagen,34,latvian,1,78440,1
335,91,60,copenhagen,34,latvian,1,78440,1
319,285,144,copenhagen,34,latvian,1,78440,1
407,216,95,copenhagen,34,latvian,1,78440,1
978,299,152,copenhagen,34,latvian,1,78440,1
900,192,110,copenhagen,34,latvian,1,78440,1
638,159,74,copenhagen,34,latvian,1,78440,1
514,266,167,copenhagen,34,latvian,1,78440,1
865,288,145,copenhagen,34,latvian,1,78440,1
318,131,53,copenhagen,34,latvian,1,78440,1
53,96,32,copenhagen,34,latvian,1,78440,1
434,93,26,copenhagen,34,latvian,1,78440,1
443,119,66,copenhagen,34,latvian,1,78440,1
812,178,66,copenhagen,34,latvian,1,78440,1
930,117,82,copenhagen,34,latvian,1,78440,1
855,192,115,copenhagen,34,latvian,1,78440,1
348,162,90,copenhagen,34,latvian,1,78440,1
508,203,98,copenhagen,34,latvian,1,78440,1
358,198,98,copenhagen,34,latvian,1,78440,1
922,223,91,copenhagen,34,latvian,1,78440,1
596,177,65,copenhagen,34,latvian,1,78440,1
958,213,100,copenhagen,34,latvian,1,78440,1
365,96,30,copenhagen,34,latvian,1,78440,1
142,316,144,copenhagen,34,latvian,1,78440,1
546,88,61,copenhagen,34,latvian,1,78440,1
349,208,95,copenhagen,34,latvian,1,78440,1
695,165,70,copenhagen,34,latvian,1,78440,1
973,178,74,copenhagen,34,latvian,1,78440,1
726,254,150,copenhagen,34,latvian,1,78440,1
727,124,28,copenhagen,34,latvian,1,78440,1
99,187,66,copenhagen,34,latvian,1,78440,1
435,278,137,copenhagen,34,latvian,1,78440,1
528,267,147,copenhagen,34,latvian,1,78440,1
92,88,32,copenhagen,34,latvian,1,78440,1
664,295,137,copenhagen,34,latvian,1,78440,1
481,95,29,copenhagen,34,latvian,1,78440,1
96,129,56,copenhagen,34,latvian,1,78440,1
766,280,142,copenhagen,34,latvian,1,78440,1
90,163,76,copenhagen,34,latvian,1,78440,1
6,120,64,copenhagen,34,latvian,1,78440,1
36,192,63,copenhagen,34,latvian,1,78440,1
698,198,102,copenhagen,34,latvian,1,78440,1
124,277,154,copenhagen,34,latvian,1,78440,1
267,180,76,copenhagen,34,latvian,1,78440,1
624,208,104,copenhagen,34,latvian,1,78440,1
547,165,72,copenhagen,34,latvian,1,78440,1
122,277,162,copenhagen,34,latvian,1,78440,1
805,165,90,copenhagen,34,latvian,1,78440,1
431,128,57,copenhagen,34,latvian,1,78440,1
849,162,74,copenhagen,34,latvian,1,78440,1
572,198,91,copenhagen,34,latvian,1,78440,1
519,200,93,copenhagen,34,latvian,1,78440,1
391,177,72,copenhagen,34,latvian,1,78440,1
611,174,78,copenhagen,34,latvian,1,78440,1
818,180,70,copenhagen,34,latvian,1,78440,1
523,81,57,copenhagen,34,latvian,1,78440,1
405,99,30,copenhagen,34,latvian,1,78440,1
831,92,26,copenhagen,34,latvian,1,78440,1
894,288,140,copenhagen,34,latvian,1,78440,1
559,196,97,copenhagen,34,latvian,1,78440,1
961,187,108,copenhagen,34,latvian,1,78440,1
202,162,72,copenhagen,34,latvian,1,78440,1
938,124,33,copenhagen,34,latvian,1,78440,1
433,117,63,copenhagen,34,latvian,1,78440,1
771,274,151,copenhagen,34,latvian,1,78440,1
291,196,107,copenhagen,34,latvian,1,78440,1
869,293,136,copenhagen,34,latvian,1,78440,1
1,99,55,copenhagen,34,latvian,1,78440,1
329,213,97,copenhagen,34,latvian,1,78440,1
309,98,0,copenhagen,1,latvian,1,78494,2
