hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
596,177,76,copenhagen,36,lithuanian,1,78482,1
772,280,150,copenhagen,36,lithuanian,1,78482,1
487,173,86,copenhagen,36,lithuanian,1,78482,1
893,196,114,copenhagen,36,lithuanian,1,78482,1
50,122,66,copenhagen,36,lithuanian,1,78482,1
961,187,122,copenhagen,36,lithuanian,1,78482,1
23,162,88,copenhagen,36,lithuanian,1,78482,1
350,295,161,copenhagen,36,lithuanian,1,78482,1
855,192,130,copenhagen,36,lithuanian,1,78482,1
726,254,177,copenhagen,36,lithuanian,1,78482,1
267,180,85,copenhagen,36,lithuanian,1,78482,1
869,293,157,copenhagen,36,lithuanian,1,78482,1
688,85,71,copenhagen,36,lithuanian,1,78482,1
32,182,86,copenhagen,36,lithuanian,1,78482,1
546,88,68,copenhagen,36,lithuanian,1,78482,1
202,154,84,copenhagen,36,lithuanian,1,78482,1
367,96,35,copenhagen,36,lithuanian,1,78482,1
445,93,33,copenhagen,36,lithuanian,1,78482,1
531,174,86,copenhagen,36,lithuanian,1,78482,1
60,92,35,copenhagen,36,lithuanian,1,78482,1
829,180,82,copenhagen,36,lithuanian,1,78482,1
562,206,118,copenhagen,36,lithuanian,1,78482,1
757,124,65,copenhagen,36,lithuanian,1,78482,1
707,274,166,copenhagen,36,lithuanian,1,78482,1
142,316,158,copenhagen,36,lithuanian,1,78482,1
690,206,120,copenhagen,36,lithuanian,1,78482,1
865,288,170,copenhagen,36,lithuanian,1,78482,1
711,124,66,copenhagen,36,lithuanian,1,78482,1
805,165,98,copenhagen,36,lithuanian,1,78482,1
365,96,34,copenhagen,36,lithuanian,1,78482,1
900,192,124,copenhagen,36,lithuanian,1,78482,1
812,178,78,copenhagen,36,lithuanian,1,78482,1
898,86,38,copenhagen,36,lithuanian,1,78482,1
358,198,112,copenhagen,36,lithuanian,1,78482,1
6,120,71,copenhagen,36,lithuanian,1,78482,1
518,117,67,copenhagen,36,lithuanian,1,78482,1
770,192,120,copenhagen,36,lithuanian,1,78482,1
930,117,90,copenhagen,36,lithuanian,1,78482,1
958,213,113,copenhagen,36,lithuanian,1,78482,1
319,285,169,copenhagen,36,lithuanian,1,78482,1
100,91,34,copenhagen,36,lithuanian,1,78482,1
539,277,169,copenhagen,36,lithuanian,1,78482,1
978,299,170,copenhagen,36,lithuanian,1,78482,1
402,131,64,copenhagen,36,lithuanian,1,78482,1
541,124,68,copenhagen,36,lithuanian,1,78482,1
519,200,111,copenhagen,36,lithuanian,1,78482,1
433,117,72,copenhagen,36,lithuanian,1,78482,1
348,162,98,copenhagen,36,lithuanian,1,78482,1
407,216,109,copenhagen,36,lithuanian,1,78482,1
622,122,75,copenhagen,36,lithuanian,1,78482,1
291,196,124,copenhagen,36,lithuanian,1,78482,1
153,200,117,copenhagen,36,lithuanian,1,78482,1
727,124,33,copenhagen,36,lithuanian,1,78482,1
716,123,70,copenhagen,36,lithuanian,1,78482,1
761,119,72,copenhagen,36,lithuanian,1,78482,1
664,295,155,copenhagen,36,lithuanian,1,78482,1
110,157,82,copenhagen,36,lithuanian,1,78482,1
309,96,71,copenhagen,36,lithuanian,1,78482,1
