hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
664,301,72,copenhagen,23,swedish,1,100342,1
122,309,70,copenhagen,23,swedish,1,100342,1
978,317,69,copenhagen,23,swedish,1,100342,1
528,322,46,copenhagen,23,swedish,1,100342,1
96,143,22,copenhagen,23,swedish,1,100342,1
401,186,26,copenhagen,23,swedish,1,100342,1
91,136,11,copenhagen,23,swedish,1,100342,1
547,198,25,copenhagen,23,swedish,1,100342,1
332,212,50,copenhagen,23,swedish,1,100342,1
289,144,21,copenhagen,23,swedish,1,100342,1
669,215,46,copenhagen,23,swedish,1,100342,1
365,100,12,copenhagen,23,swedish,1,100342,1
818,184,0,copenhagen,23,swedish,1,100342,1
655,285,60,copenhagen,23,swedish,1,100342,1
727,129,6,copenhagen,23,swedish,1,100342,1
766,322,52,copenhagen,23,swedish,1,100342,1
434,121,9,copenhagen,23,swedish,1,100342,1
506,134,12,copenhagen,23,swedish,1,100342,1
865,294,65,copenhagen,23,swedish,1,100342,1
90,181,31,copenhagen,23,swedish,1,100342,1
830,93,35,copenhagen,23,swedish,1,100342,1
249,88,44,copenhagen,23,swedish,1,100342,1
983,90,18,copenhagen,23,swedish,1,100342,1
829,198,28,copenhagen,23,swedish,1,100342,1
431,130,8,copenhagen,23,swedish,1,100342,1
893,226,37,copenhagen,23,swedish,1,100342,1
514,272,76,copenhagen,23,swedish,1,100342,1
518,130,21,copenhagen,23,swedish,1,100342,1
995,199,38,copenhagen,23,swedish,1,100342,1
251,175,12,copenhagen,23,swedish,1,100342,1
391,188,28,copenhagen,23,swedish,1,100342,1
757,143,19,copenhagen,23,swedish,1,100342,1
385,301,54,copenhagen,23,swedish,1,100342,1
202,180,30,copenhagen,23,swedish,1,100342,1
691,90,28,copenhagen,23,swedish,1,100342,1
744,180,32,copenhagen,23,swedish,1,100342,1
36,205,7,copenhagen,23,swedish,1,100342,1
349,239,36,copenhagen,23,swedish,1,100342,1
