hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
312,104,18,madrid,19,portuguese,1,85839,1
575,86,41,madrid,19,portuguese,1,85839,1
454,88,19,madrid,19,portuguese,1,85839,1
904,110,15,madrid,19,portuguese,1,85839,1
886,125,11,madrid,19,portuguese,1,85839,1
458,78,15,madrid,19,portuguese,1,85839,1
499,162,24,madrid,19,portuguese,1,85839,1
322,81,19,madrid,19,portuguese,1,85839,1
261,93,19,madrid,19,portuguese,1,85839,1
235,147,18,madrid,19,portuguese,1,85839,1
525,104,13,madrid,19,portuguese,1,85839,1
860,144,18,madrid,19,portuguese,1,85839,1
873,212,45,madrid,19,portuguese,1,85839,1
7,92,8,madrid,19,portuguese,1,85839,1
997,128,26,madrid,19,portuguese,1,85839,1
936,124,21,madrid,19,portuguese,1,85839,1
615,94,18,madrid,19,portuguese,1,85839,1
241,123,0,madrid,19,portuguese,1,85839,1
964,146,18,madrid,19,portuguese,1,85839,1
673,156,30,madrid,19,portuguese,1,85839,1
561,62,15,madrid,19,portuguese,1,85839,1
149,174,23,madrid,19,portuguese,1,85839,1
97,207,45,madrid,19,portuguese,1,85839,1
483,92,0,madrid,19,portuguese,1,85839,1
333,103,15,madrid,19,portuguese,1,85839,1
414,64,16,madrid,19,portuguese,1,85839,1
800,91,5,madrid,19,portuguese,1,85839,1
67,196,55,madrid,19,portuguese,1,85839,1
31,107,15,madrid,19,portuguese,1,85839,1
393,146,20,madrid,19,portuguese,1,85839,1
857,92,21,madrid,19,portuguese,1,85839,1
205,86,11,madrid,19,portuguese,1,85839,1
131,143,33,madrid,19,portuguese,1,85839,1
154,243,29,madrid,19,portuguese,1,85839,1
468,65,0,madrid,19,portuguese,1,85839,1
941,66,7,madrid,19,portuguese,1,85839,1
618,107,14,madrid,19,portuguese,1,85839,1
108,86,11,madrid,19,portuguese,1,85839,1
39,107,14,madrid,19,portuguese,1,85839,1
791,108,15,madrid,19,portuguese,1,85839,1
606,195,59,madrid,19,portuguese,1,85839,1
780,221,36,madrid,19,portuguese,1,85839,1
538,111,29,madrid,19,portuguese,1,85839,1
285,89,9,madrid,19,portuguese,1,85839,1
733,91,17,madrid,19,portuguese,1,85839,1
717,246,32,madrid,19,portuguese,1,85839,1
619,121,13,madrid,19,portuguese,1,85839,1
135,221,40,madrid,19,portuguese,1,85839,1
798,267,27,madrid,19,portuguese,1,85839,1
186,113,30,madrid,19,portuguese,1,85839,1
600,62,6,madrid,19,portuguese,1,85839,1
277,202,50,madrid,19,portuguese,1,85839,1
378,124,0,madrid,19,portuguese,1,85839,1
265,283,27,madrid,19,portuguese,1,85839,1
276,68,0,madrid,19,portuguese,1,85839,1
185,144,16,madrid,19,portuguese,1,85839,1
246,237,33,madrid,19,portuguese,1,85839,1
384,163,29,madrid,19,portuguese,1,85839,1
729,226,37,madrid,19,portuguese,1,85839,1
495,233,39,madrid,19,portuguese,1,85839,1
768,241,34,madrid,19,portuguese,1,85839,1
966,62,10,madrid,19,portuguese,1,85839,1
527,144,18,madrid,19,portuguese,1,85839,1
609,164,28,madrid,19,portuguese,1,85839,1
398,63,11,madrid,19,portuguese,1,85839,1
500,65,37,madrid,19,portuguese,1,85839,1
747,148,31,madrid,19,portuguese,1,85839,1
982,148,28,madrid,19,portuguese,1,85839,1
147,170,26,madrid,19,portuguese,1,85839,1
633,124,24,madrid,19,portuguese,1,85839,1
93,255,28,madrid,19,portuguese,1,85839,1
313,67,5,madrid,19,portuguese,1,85839,1
