hotel_id,price,stock,city,date,language,mobile,avatar_id
863,351,19,paris,15,austrian,1,78432
858,260,13,paris,15,austrian,1,78432
735,164,8,paris,15,austrian,1,78432
305,205,15,paris,15,austrian,1,78432
790,360,19,paris,15,austrian,1,78432
314,124,0,paris,15,austrian,1,78432
274,202,12,paris,15,austrian,1,78432
338,208,31,paris,15,austrian,1,78432
817,234,19,paris,15,austrian,1,78432
357,192,15,paris,15,austrian,1,78432
412,281,96,paris,15,austrian,1,78432
27,266,46,paris,15,austrian,1,78432
419,129,12,paris,15,austrian,1,78432
656,129,10,paris,15,austrian,1,78432
595,199,12,paris,15,austrian,1,78432
379,337,28,paris,15,austrian,1,78432
290,202,14,paris,15,austrian,1,78432
599,109,35,paris,15,austrian,1,78432
889,202,14,paris,15,austrian,1,78432
121,88,7,paris,15,austrian,1,78432
949,334,26,paris,15,austrian,1,78432
192,126,0,paris,15,austrian,1,78432
182,172,9,paris,15,austrian,1,78432
797,154,11,paris,15,austrian,1,78432
66,197,14,paris,15,austrian,1,78432
24,282,28,paris,15,austrian,1,78432
617,357,27,paris,15,austrian,1,78432
756,236,20,paris,15,austrian,1,78432
165,171,24,paris,15,austrian,1,78432
558,108,5,paris,15,austrian,1,78432
327,240,14,paris,15,austrian,1,78432
130,251,18,paris,15,austrian,1,78432
634,92,0,paris,15,austrian,1,78432
645,171,0,paris,15,austrian,1,78432
509,94,0,paris,15,austrian,1,78432
323,357,28,paris,15,austrian,1,78432
560,162,22,paris,15,austrian,1,78432
331,104,12,paris,15,austrian,1,78432
736,238,19,paris,15,austrian,1,78432
926,199,31,paris,15,austrian,1,78432
972,106,6,paris,15,austrian,1,78432
492,124,0,paris,15,austrian,1,78432
301,141,12,paris,15,austrian,1,78432
28,169,9,paris,15,austrian,1,78432
629,92,0,paris,15,austrian,1,78432
742,311,27,paris,15,austrian,1,78432
986,247,15,paris,15,austrian,1,78432
748,194,31,paris,15,austrian,1,78432
421,154,11,paris,15,austrian,1,78432
14,159,19,paris,15,austrian,1,78432
823,240,13,paris,15,austrian,1,78432
577,199,4,paris,15,austrian,1,78432
708,199,15,paris,15,austrian,1,78432
612,240,20,paris,15,austrian,1,78432
227,90,8,paris,15,austrian,1,78432
980,121,6,paris,15,austrian,1,78432
254,174,1,paris,15,austrian,1,78432
776,169,0,paris,15,austrian,1,78432
216,221,22,paris,15,austrian,1,78432
248,240,14,paris,15,austrian,1,78432
841,92,1,paris,15,austrian,1,78432
723,91,5,paris,15,austrian,1,78432
49,171,0,paris,15,austrian,1,78432
948,229,21,paris,15,austrian,1,78432
992,88,0,paris,15,austrian,1,78432
29,253,13,paris,15,austrian,1,78432
526,343,25,paris,15,austrian,1,78432
159,242,15,paris,15,austrian,1,78432
884,236,21,paris,15,austrian,1,78432
580,149,12,paris,15,austrian,1,78432
0,208,21,paris,15,austrian,1,78432
229,235,21,paris,15,austrian,1,78432
842,387,20,paris,15,austrian,1,78432
851,94,12,paris,15,austrian,1,78432
299,122,0,paris,15,austrian,1,78432
474,194,14,paris,15,austrian,1,78432
259,146,10,paris,15,austrian,1,78432
975,175,22,paris,15,austrian,1,78432
885,181,22,paris,15,austrian,1,78432
602,122,7,paris,15,austrian,1,78432
942,249,16,paris,15,austrian,1,78432
94,265,81,paris,15,austrian,1,78432
663,164,17,paris,15,austrian,1,78432
767,199,6,paris,15,austrian,1,78432
484,146,12,paris,15,austrian,1,78432
447,144,10,paris,15,austrian,1,78432
176,91,0,paris,15,austrian,1,78432
69,267,96,paris,15,austrian,1,78432
882,235,10,paris,15,austrian,1,78432
910,91,10,paris,15,austrian,1,78432
339,268,20,paris,15,austrian,1,78432
123,133,10,paris,15,austrian,1,78432
119,242,14,paris,15,austrian,1,78432
640,205,12,paris,15,austrian,1,78432
65,171,9,paris,15,austrian,1,78432
564,97,0,paris,15,austrian,1,78432
576,240,16,paris,15,austrian,1,78432
825,199,16,paris,15,austrian,1,78432
738,130,13,paris,15,austrian,1,78432
225,202,12,paris,15,austrian,1,78432
56,236,19,paris,15,austrian,1,78432
912,174,0,paris,15,austrian,1,78432
808,373,19,paris,15,austrian,1,78432
199,242,2,paris,15,austrian,1,78432
95,360,19,paris,15,austrian,1,78432
415,134,12,paris,15,austrian,1,78432
700,188,85,paris,15,austrian,1,78432
188,90,17,paris,15,austrian,1,78432
584,404,19,paris,15,austrian,1,78432
540,315,33,paris,15,austrian,1,78432
21,91,5,paris,15,austrian,1,78432
306,208,24,paris,15,austrian,1,78432
803,313,23,paris,15,austrian,1,78432
937,238,14,paris,15,austrian,1,78432
132,274,42,paris,15,austrian,1,78432
946,249,14,paris,15,austrian,1,78432
631,88,0,paris,15,austrian,1,78432
722,205,14,paris,15,austrian,1,78432
647,151,10,paris,15,austrian,1,78432
573,316,35,paris,15,austrian,1,78432
17,87,10,paris,15,austrian,1,78432
436,262,78,paris,15,austrian,1,78432
133,168,0,paris,15,austrian,1,78432
741,201,15,paris,15,austrian,1,78432
238,169,0,paris,15,austrian,1,78432
614,93,0,paris,15,austrian,1,78432
998,238,8,paris,15,austrian,1,78432
115,114,34,paris,15,austrian,1,78432
342,127,6,paris,15,austrian,1,78432
963,144,12,paris,15,austrian,1,78432
477,89,10,paris,15,austrian,1,78432
397,367,20,paris,15,austrian,1,78432
684,90,6,paris,15,austrian,1,78432
792,90,20,paris,15,austrian,1,78432
522,182,7,paris,15,austrian,1,78432
467,271,71,paris,15,austrian,1,78432
911,135,12,paris,15,austrian,1,78432
705,151,8,paris,15,austrian,1,78432
257,199,11,paris,15,austrian,1,78432
148,121,0,paris,15,austrian,1,78432
207,174,0,paris,15,austrian,1,78432
785,258,11,paris,15,austrian,1,78432
582,234,18,paris,15,austrian,1,78432
534,339,27,paris,15,austrian,1,78432
734,149,9,paris,15,austrian,1,78432
392,201,14,paris,15,austrian,1,78432
868,206,15,paris,15,austrian,1,78432
903,94,0,paris,15,austrian,1,78432
571,339,20,paris,15,austrian,1,78432
41,144,12,paris,15,austrian,1,78432
150,240,20,paris,15,austrian,1,78432
308,229,17,paris,15,austrian,1,78432
795,175,0,paris,15,austrian,1,78432
970,314,29,paris,15,austrian,1,78432
62,91,0,paris,15,austrian,1,78432
782,281,45,paris,15,austrian,1,78432
700,188,136,paris,35,austrian,1,78481
225,167,74,paris,35,austrian,1,78481
133,168,76,paris,35,austrian,1,78481
823,190,106,paris,35,austrian,1,78481
748,186,129,paris,35,austrian,1,78481
949,287,151,paris,35,austrian,1,78481
121,83,37,paris,35,austrian,1,78481
731,171,74,paris,35,austrian,1,78481
722,161,74,paris,35,austrian,1,78481
412,281,176,paris,35,austrian,1,78481
708,163,74,paris,35,austrian,1,78481
331,89,60,paris,35,austrian,1,78481
868,181,114,paris,35,austrian,1,78481
948,196,113,paris,35,austrian,1,78481
741,180,76,paris,35,austrian,1,78481
436,262,187,paris,35,austrian,1,78481
123,118,60,paris,35,austrian,1,78481
66,147,88,paris,35,austrian,1,78481
612,188,111,paris,35,austrian,1,78481
742,263,149,paris,35,austrian,1,78481
130,193,104,paris,35,austrian,1,78481
825,171,80,paris,35,austrian,1,78481
851,87,69,paris,35,austrian,1,78481
132,262,155,paris,35,austrian,1,78481
65,160,84,paris,35,austrian,1,78481
738,119,66,paris,35,austrian,1,78481
24,259,188,paris,35,austrian,1,78481
903,90,72,paris,35,austrian,1,78481
911,119,75,paris,35,austrian,1,78481
308,205,103,paris,35,austrian,1,78481
342,120,35,paris,35,austrian,1,78481
837,256,161,paris,35,austrian,1,78481
357,163,74,paris,35,austrian,1,78481
314,122,62,paris,35,austrian,1,78481
392,172,81,paris,35,austrian,1,78481
415,123,62,paris,35,austrian,1,78481
767,171,74,paris,35,austrian,1,78481
397,281,156,paris,35,austrian,1,78481
986,196,113,paris,35,austrian,1,78481
49,167,88,paris,35,austrian,1,78481
580,123,56,paris,35,austrian,1,78481
467,271,153,paris,35,austrian,1,78481
684,85,32,paris,35,austrian,1,78481
756,202,102,paris,35,austrian,1,78481
866,266,171,paris,35,austrian,1,78481
14,159,68,paris,35,austrian,1,78481
327,206,102,paris,35,austrian,1,78481
582,199,111,paris,35,austrian,1,78481
795,175,78,paris,35,austrian,1,78481
573,316,149,paris,35,austrian,1,78481
207,174,81,paris,35,austrian,1,78481
165,160,86,paris,35,austrian,1,78481
723,81,33,paris,35,austrian,1,78481
970,267,171,paris,35,austrian,1,78481
975,169,72,paris,35,austrian,1,78481
926,183,113,paris,35,austrian,1,78481
614,91,32,paris,35,austrian,1,78481
803,289,154,paris,35,austrian,1,78481
634,87,33,paris,35,austrian,1,78481
792,87,76,paris,35,austrian,1,78481
579,84,35,paris,35,austrian,1,78481
540,278,158,paris,35,austrian,1,78481
998,196,115,paris,35,austrian,1,78481
599,109,74,paris,35,austrian,1,78481
735,118,59,paris,35,austrian,1,78481
182,161,90,paris,35,austrian,1,78481
790,277,151,paris,35,austrian,1,78481
492,117,68,paris,35,austrian,1,78481
571,266,153,paris,35,austrian,1,78481
0,183,106,paris,35,austrian,1,78481
248,183,108,paris,35,austrian,1,78481
882,193,110,paris,35,austrian,1,78481
150,197,105,paris,35,austrian,1,78481
910,89,35,paris,35,austrian,1,78481
62,81,34,paris,35,austrian,1,78481
602,112,37,paris,35,austrian,1,78481
148,121,60,paris,35,austrian,1,78481
229,184,110,paris,35,austrian,1,78481
259,120,53,paris,35,austrian,1,78481
889,159,78,paris,35,austrian,1,78481
577,171,75,paris,35,austrian,1,78481
534,266,160,paris,35,austrian,1,78481
942,190,102,paris,35,austrian,1,78481
115,114,72,paris,35,austrian,1,78481
782,281,169,paris,35,austrian,1,78481
785,188,102,paris,35,austrian,1,78481
863,266,173,paris,35,austrian,1,78481
629,92,65,paris,35,austrian,1,78481
