hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
207,165,52,paris,29,belgian,1,78522,2
29,199,68,paris,29,belgian,1,78522,2
841,80,43,paris,29,belgian,1,78522,2
165,151,58,paris,29,belgian,1,78522,2
577,175,46,paris,29,belgian,1,78522,2
159,190,69,paris,29,belgian,1,78522,2
359,122,38,paris,29,belgian,1,78522,2
259,123,32,paris,29,belgian,1,78522,2
573,298,108,paris,29,belgian,1,78522,2
992,83,19,paris,29,belgian,1,78522,2
617,281,108,paris,29,belgian,1,78522,2
323,270,114,paris,29,belgian,1,78522,2
216,193,74,paris,29,belgian,1,78522,2
436,247,146,paris,29,belgian,1,78522,2
119,190,71,paris,29,belgian,1,78522,2
722,158,46,paris,29,belgian,1,78522,2
640,166,47,paris,29,belgian,1,78522,2
509,89,13,paris,29,belgian,1,78522,2
314,117,36,paris,29,belgian,1,78522,2
447,111,42,paris,29,belgian,1,78522,2
24,244,130,paris,29,belgian,1,78522,2
656,116,39,paris,29,belgian,1,78522,2
290,165,43,paris,29,belgian,1,78522,2
741,170,48,paris,29,belgian,1,78522,2
782,266,125,paris,29,belgian,1,78522,2
28,130,39,paris,29,belgian,1,78522,2
227,81,24,paris,29,belgian,1,78522,2
884,183,70,paris,29,belgian,1,78522,2
738,118,44,paris,29,belgian,1,78522,2
980,114,40,paris,29,belgian,1,78522,2
121,78,26,paris,29,belgian,1,78522,2
792,85,46,paris,29,belgian,1,78522,2
825,161,52,paris,29,belgian,1,78522,2
853,161,45,paris,29,belgian,1,78522,2
911,112,52,paris,29,belgian,1,78522,2
17,82,24,paris,29,belgian,1,78522,2
748,176,95,paris,29,belgian,1,78522,2
842,288,87,paris,29,belgian,1,78522,2
0,180,80,paris,29,belgian,1,78522,2
735,116,38,paris,29,belgian,1,78522,2
148,114,40,paris,29,belgian,1,78522,2
69,252,156,paris,29,belgian,1,78522,2
327,211,63,paris,29,belgian,1,78522,2
305,152,51,paris,29,belgian,1,78522,2
889,150,49,paris,29,belgian,1,78522,2
449,182,71,paris,29,belgian,1,78522,2
379,273,104,paris,29,belgian,1,78522,2
975,166,52,paris,29,belgian,1,78522,2
342,115,23,paris,29,belgian,1,78522,2
225,165,44,paris,29,belgian,1,78522,2
412,266,141,paris,29,belgian,1,78522,2
176,86,6,paris,29,belgian,1,78522,2
492,117,44,paris,29,belgian,1,78522,2
734,122,41,paris,29,belgian,1,78522,2
