hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
824,241,17,rome,12,irish,0,78458,2
586,212,12,rome,12,irish,0,78458,2
650,77,2,rome,12,irish,0,78458,2
932,138,0,rome,12,irish,0,78458,2
787,142,5,rome,12,irish,0,78458,2
437,102,2,rome,12,irish,0,78458,2
471,161,38,rome,12,irish,0,78458,2
324,169,0,rome,12,irish,0,78458,2
897,345,12,rome,12,irish,0,78458,2
440,145,8,rome,12,irish,0,78458,2
473,284,23,rome,12,irish,0,78458,2
696,100,0,rome,12,irish,0,78458,2
296,72,4,rome,12,irish,0,78458,2
651,116,10,rome,12,irish,0,78458,2
840,109,16,rome,12,irish,0,78458,2
769,82,0,rome,12,irish,0,78458,2
232,78,0,rome,12,irish,0,78458,2
151,241,29,rome,12,irish,0,78458,2
701,73,8,rome,12,irish,0,78458,2
469,74,9,rome,12,irish,0,78458,2
486,197,17,rome,12,irish,0,78458,2
668,119,6,rome,12,irish,0,78458,2
156,74,0,rome,12,irish,0,78458,2
380,78,0,rome,12,irish,0,78458,2
180,75,0,rome,12,irish,0,78458,2
46,310,16,rome,12,irish,0,78458,2
452,276,8,rome,12,irish,0,78458,2
38,100,4,rome,12,irish,0,78458,2
907,144,0,rome,12,irish,0,78458,2
993,217,10,rome,12,irish,0,78458,2
536,126,8,rome,12,irish,0,78458,2
694,152,5,rome,12,irish,0,78458,2
281,134,5,rome,12,irish,0,78458,2
906,144,0,rome,12,irish,0,78458,2
864,167,12,rome,12,irish,0,78458,2
144,82,6,rome,12,irish,0,78458,2
489,325,19,rome,12,irish,0,78458,2
390,199,9,rome,12,irish,0,78458,2
681,170,7,rome,12,irish,0,78458,2
396,136,9,rome,12,irish,0,78458,2
751,276,23,rome,12,irish,0,78458,2
739,249,9,rome,12,irish,0,78458,2
781,73,0,rome,12,irish,0,78458,2
636,100,0,rome,12,irish,0,78458,2
555,167,0,rome,12,irish,0,78458,2
170,141,13,rome,12,irish,0,78458,2
345,138,0,rome,12,irish,0,78458,2
563,196,0,rome,12,irish,0,78458,2
874,245,13,rome,12,irish,0,78458,2
552,99,1,rome,12,irish,0,78458,2
361,165,9,rome,12,irish,0,78458,2
316,194,13,rome,12,irish,0,78458,2
129,119,9,rome,12,irish,0,78458,2
139,78,0,rome,12,irish,0,78458,2
298,167,7,rome,12,irish,0,78458,2
947,169,12,rome,12,irish,0,78458,2
759,208,13,rome,12,irish,0,78458,2
73,223,11,rome,12,irish,0,78458,2
944,279,0,rome,12,irish,0,78458,2
321,397,12,rome,12,irish,0,78458,2
3,73,2,rome,12,irish,0,78458,2
774,207,13,rome,12,irish,0,78458,2
763,123,9,rome,12,irish,0,78458,2
642,80,6,rome,12,irish,0,78458,2
913,163,13,rome,12,irish,0,78458,2
191,165,12,rome,12,irish,0,78458,2
386,106,0,rome,12,irish,0,78458,2
712,199,15,rome,12,irish,0,78458,2
206,178,22,rome,12,irish,0,78458,2
496,83,17,rome,12,irish,0,78458,2
330,308,17,rome,12,irish,0,78458,2
786,310,13,rome,12,irish,0,78458,2
364,170,6,rome,12,irish,0,78458,2
843,314,13,rome,12,irish,0,78458,2
953,130,6,rome,12,irish,0,78458,2
569,134,5,rome,12,irish,0,78458,2
702,212,16,rome,12,irish,0,78458,2
513,76,5,rome,12,irish,0,78458,2
453,392,12,rome,12,irish,0,78458,2
671,143,0,rome,12,irish,0,78458,2
850,170,15,rome,12,irish,0,78458,2
934,78,5,rome,12,irish,0,78458,2
293,73,1,rome,12,irish,0,78458,2
728,276,0,rome,12,irish,0,78458,2
566,172,24,rome,12,irish,0,78458,2
381,137,0,rome,12,irish,0,78458,2
286,127,9,rome,12,irish,0,78458,2
725,193,0,rome,12,irish,0,78458,2
583,74,0,rome,12,irish,0,78458,2
242,228,11,rome,12,irish,0,78458,2
537,196,17,rome,12,irish,0,78458,2
347,82,2,rome,12,irish,0,78458,2
