hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
399,184,22,rome,17,luxembourgish,1,78510,1
739,224,17,rome,17,luxembourgish,1,78510,1
543,166,25,rome,17,luxembourgish,1,78510,1
537,158,25,rome,17,luxembourgish,1,78510,1
112,77,5,rome,17,luxembourgish,1,78510,1
361,162,14,rome,17,luxembourgish,1,78510,1
854,304,26,rome,17,luxembourgish,1,78510,1
929,336,20,rome,17,luxembourgish,1,78510,1
895,252,28,rome,17,luxembourgish,1,78510,1
644,70,0,rome,17,luxembourgish,1,78510,1
944,274,20,rome,17,luxembourgish,1,78510,1
242,188,20,rome,17,luxembourgish,1,78510,1
552,97,15,rome,17,luxembourgish,1,78510,1
642,75,11,rome,17,luxembourgish,1,78510,1
659,175,25,rome,17,luxembourgish,1,78510,1
874,185,22,rome,17,luxembourgish,1,78510,1
396,107,15,rome,17,luxembourgish,1,78510,1
471,158,50,rome,17,luxembourgish,1,78510,1
586,166,22,rome,17,luxembourgish,1,78510,1
686,86,9,rome,17,luxembourgish,1,78510,1
178,236,42,rome,17,luxembourgish,1,78510,1
787,123,10,rome,17,luxembourgish,1,78510,1
763,103,16,rome,17,luxembourgish,1,78510,1
838,163,10,rome,17,luxembourgish,1,78510,1
555,163,11,rome,17,luxembourgish,1,78510,1
46,304,26,rome,17,luxembourgish,1,78510,1
48,71,18,rome,17,luxembourgish,1,78510,1
993,179,19,rome,17,luxembourgish,1,78510,1
486,194,24,rome,17,luxembourgish,1,78510,1
489,318,29,rome,17,luxembourgish,1,78510,1
696,98,0,rome,17,luxembourgish,1,78510,1
273,141,20,rome,17,luxembourgish,1,78510,1
759,171,22,rome,17,luxembourgish,1,78510,1
816,84,7,rome,17,luxembourgish,1,78510,1
260,105,20,rome,17,luxembourgish,1,78510,1
913,160,20,rome,17,luxembourgish,1,78510,1
641,106,12,rome,17,luxembourgish,1,78510,1
296,65,9,rome,17,luxembourgish,1,78510,1
473,279,33,rome,17,luxembourgish,1,78510,1
786,247,27,rome,17,luxembourgish,1,78510,1
701,72,13,rome,17,luxembourgish,1,78510,1
906,141,0,rome,17,luxembourgish,1,78510,1
769,80,4,rome,17,luxembourgish,1,78510,1
636,98,0,rome,17,luxembourgish,1,78510,1
293,71,11,rome,17,luxembourgish,1,78510,1
139,77,0,rome,17,luxembourgish,1,78510,1
702,173,25,rome,17,luxembourgish,1,78510,1
671,140,6,rome,17,luxembourgish,1,78510,1
694,138,7,rome,17,luxembourgish,1,78510,1
213,98,0,rome,17,luxembourgish,1,78510,1
650,76,7,rome,17,luxembourgish,1,78510,1
232,76,4,rome,17,luxembourgish,1,78510,1
751,271,33,rome,17,luxembourgish,1,78510,1
380,77,0,rome,17,luxembourgish,1,78510,1
621,76,4,rome,17,luxembourgish,1,78510,1
953,115,10,rome,17,luxembourgish,1,78510,1
496,82,24,rome,17,luxembourgish,1,78510,1
668,117,12,rome,17,luxembourgish,1,78510,1
947,135,20,rome,17,luxembourgish,1,78510,1
423,300,24,rome,17,luxembourgish,1,78510,1
864,140,20,rome,17,luxembourgish,1,78510,1
156,72,2,rome,17,luxembourgish,1,78510,1
347,80,7,rome,17,luxembourgish,1,78510,1
583,73,6,rome,17,luxembourgish,1,78510,1
321,282,25,rome,17,luxembourgish,1,78510,1
651,114,14,rome,17,luxembourgish,1,78510,1
485,72,8,rome,17,luxembourgish,1,78510,1
781,72,0,rome,17,luxembourgish,1,78510,1
991,169,27,rome,17,luxembourgish,1,78510,1
728,271,0,rome,17,luxembourgish,1,78510,1
569,131,9,rome,17,luxembourgish,1,78510,1
144,75,12,rome,17,luxembourgish,1,78510,1
298,163,14,rome,17,luxembourgish,1,78510,1
381,135,8,rome,17,luxembourgish,1,78510,1
840,107,22,rome,17,luxembourgish,1,78510,1
345,136,0,rome,17,luxembourgish,1,78510,1
437,100,7,rome,17,luxembourgish,1,78510,1
151,236,49,rome,17,luxembourgish,1,78510,1
773,85,7,rome,17,luxembourgish,1,78510,1
129,104,14,rome,17,luxembourgish,1,78510,1
51,145,15,rome,17,luxembourgish,1,78510,1
364,166,14,rome,17,luxembourgish,1,78510,1
469,66,17,rome,17,luxembourgish,1,78510,1
316,171,27,rome,17,luxembourgish,1,78510,1
453,279,25,rome,17,luxembourgish,1,78510,1
170,133,28,rome,17,luxembourgish,1,78510,1
386,104,1,rome,17,luxembourgish,1,78510,1
180,74,4,rome,17,luxembourgish,1,78510,1
330,255,30,rome,17,luxembourgish,1,78510,1
550,76,16,rome,17,luxembourgish,1,78510,1
228,136,0,rome,17,luxembourgish,1,78510,1
796,141,17,rome,17,luxembourgish,1,78510,1
850,166,33,rome,17,luxembourgish,1,78510,1
440,111,13,rome,17,luxembourgish,1,78510,1
566,148,53,rome,17,luxembourgish,1,78510,1
714,74,0,rome,17,luxembourgish,1,78510,1
907,141,6,rome,17,luxembourgish,1,78510,1
3,70,7,rome,17,luxembourgish,1,78510,1
804,160,14,rome,17,luxembourgish,1,78510,1
390,196,20,rome,17,luxembourgish,1,78510,1
344,71,14,rome,17,luxembourgish,1,78510,1
42,185,20,rome,17,luxembourgish,1,78510,1
932,136,6,rome,17,luxembourgish,1,78510,1
324,165,11,rome,17,luxembourgish,1,78510,1
563,192,8,rome,17,luxembourgish,1,78510,1
206,175,31,rome,17,luxembourgish,1,78510,1
452,182,19,rome,17,luxembourgish,1,78510,1
341,122,14,rome,17,luxembourgish,1,78510,1
934,74,11,rome,17,luxembourgish,1,78510,1
774,182,20,rome,17,luxembourgish,1,78510,1
374,102,0,rome,17,luxembourgish,1,78510,1
824,236,32,rome,17,luxembourgish,1,78510,1
513,75,9,rome,17,luxembourgish,1,78510,1
856,74,0,rome,17,luxembourgish,1,78510,1
