hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
144,73,16,rome,20,maltese,1,78513,5
694,135,10,rome,20,maltese,1,78513,5
151,232,61,rome,20,maltese,1,78513,5
46,261,32,rome,20,maltese,1,78513,5
650,74,10,rome,20,maltese,1,78513,5
298,160,19,rome,20,maltese,1,78513,5
854,270,32,rome,20,maltese,1,78513,5
213,96,0,rome,20,maltese,1,78513,5
929,283,27,rome,20,maltese,1,78513,5
774,165,27,rome,20,maltese,1,78513,5
452,165,29,rome,20,maltese,1,78513,5
469,65,24,rome,20,maltese,1,78513,5
769,79,9,rome,20,maltese,1,78513,5
3,67,10,rome,20,maltese,1,78513,5
328,70,10,rome,20,maltese,1,78513,5
953,101,15,rome,20,maltese,1,78513,5
273,139,28,rome,20,maltese,1,78513,5
563,189,21,rome,20,maltese,1,78513,5
453,254,38,rome,20,maltese,1,78513,5
399,181,27,rome,20,maltese,1,78513,5
496,71,28,rome,20,maltese,1,78513,5
712,151,44,rome,20,maltese,1,78513,5
644,69,0,rome,20,maltese,1,78513,5
396,101,21,rome,20,maltese,1,78513,5
787,120,15,rome,20,maltese,1,78513,5
897,275,37,rome,20,maltese,1,78513,5
786,233,41,rome,20,maltese,1,78513,5
51,136,22,rome,20,maltese,1,78513,5
42,182,29,rome,20,maltese,1,78513,5
668,114,16,rome,20,maltese,1,78513,5
228,133,0,rome,20,maltese,1,78513,5
850,163,43,rome,20,maltese,1,78513,5
781,70,0,rome,20,maltese,1,78513,5
555,160,17,rome,20,maltese,1,78513,5
838,160,18,rome,20,maltese,1,78513,5
759,160,32,rome,20,maltese,1,78513,5
804,157,18,rome,20,maltese,1,78513,5
139,75,0,rome,20,maltese,1,78513,5
380,75,6,rome,20,maltese,1,78513,5
824,222,46,rome,20,maltese,1,78513,5
129,102,19,rome,20,maltese,1,78513,5
816,82,8,rome,20,maltese,1,78513,5
763,101,21,rome,20,maltese,1,78513,5
513,73,12,rome,20,maltese,1,78513,5
170,131,38,rome,20,maltese,1,78513,5
864,138,26,rome,20,maltese,1,78513,5
345,133,0,rome,20,maltese,1,78513,5
486,190,28,rome,20,maltese,1,78513,5
906,139,0,rome,20,maltese,1,78513,5
316,154,39,rome,20,maltese,1,78513,5
907,139,18,rome,20,maltese,1,78513,5
566,145,69,rome,20,maltese,1,78513,5
242,177,31,rome,20,maltese,1,78513,5
48,66,26,rome,20,maltese,1,78513,5
725,186,24,rome,20,maltese,1,78513,5
473,244,39,rome,20,maltese,1,78513,5
437,98,10,rome,20,maltese,1,78513,5
641,104,18,rome,20,maltese,1,78513,5
932,133,16,rome,20,maltese,1,78513,5
728,265,14,rome,20,maltese,1,78513,5
714,72,0,rome,20,maltese,1,78513,5
621,75,7,rome,20,maltese,1,78513,5
651,100,16,rome,20,maltese,1,78513,5
681,163,19,rome,20,maltese,1,78513,5
364,163,18,rome,20,maltese,1,78513,5
178,222,61,rome,20,maltese,1,78513,5
374,100,2,rome,20,maltese,1,78513,5
485,71,11,rome,20,maltese,1,78513,5
543,163,34,rome,20,maltese,1,78513,5
232,75,9,rome,20,maltese,1,78513,5
296,64,13,rome,20,maltese,1,78513,5
895,247,39,rome,20,maltese,1,78513,5
874,175,31,rome,20,maltese,1,78513,5
947,133,26,rome,20,maltese,1,78513,5
913,157,25,rome,20,maltese,1,78513,5
991,165,34,rome,20,maltese,1,78513,5
944,268,35,rome,20,maltese,1,78513,5
552,95,24,rome,20,maltese,1,78513,5
