hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
485,65,42,rome,40,slovakian,1,78533,8
3,61,44,rome,40,slovakian,1,78533,8
437,84,48,rome,40,slovakian,1,78533,8
324,122,112,rome,40,slovakian,1,78533,8
386,91,45,rome,40,slovakian,1,78533,8
644,64,103,rome,40,slovakian,1,78533,8
543,143,153,rome,40,slovakian,1,78533,8
344,64,46,rome,40,slovakian,1,78533,8
696,86,85,rome,40,slovakian,1,78533,8
473,207,215,rome,40,slovakian,1,78533,8
816,61,42,rome,40,slovakian,1,78533,8
929,199,221,rome,40,slovakian,1,78533,8
987,70,45,rome,40,slovakian,1,78533,8
114,118,106,rome,40,slovakian,1,78533,8
728,200,218,rome,40,slovakian,1,78533,8
144,71,46,rome,40,slovakian,1,78533,8
260,93,108,rome,40,slovakian,1,78533,8
361,119,103,rome,40,slovakian,1,78533,8
73,146,151,rome,40,slovakian,1,78533,8
536,95,86,rome,40,slovakian,1,78533,8
850,143,150,rome,40,slovakian,1,78533,8
347,71,44,rome,40,slovakian,1,78533,8
286,92,87,rome,40,slovakian,1,78533,8
677,138,154,rome,40,slovakian,1,78533,8
180,66,45,rome,40,slovakian,1,78533,8
298,120,114,rome,40,slovakian,1,78533,8
659,145,154,rome,40,slovakian,1,78533,8
694,118,43,rome,40,slovakian,1,78533,8
345,120,84,rome,40,slovakian,1,78533,8
281,88,86,rome,40,slovakian,1,78533,8
390,145,150,rome,40,slovakian,1,78533,8
316,141,150,rome,40,slovakian,1,78533,8
453,199,221,rome,40,slovakian,1,78533,8
781,68,42,rome,40,slovakian,1,78533,8
953,85,92,rome,40,slovakian,1,78533,8
944,203,217,rome,40,slovakian,1,78533,8
341,86,82,rome,40,slovakian,1,78533,8
242,145,160,rome,40,slovakian,1,78533,8
151,213,210,rome,40,slovakian,1,78533,8
751,200,224,rome,40,slovakian,1,78533,8
796,117,108,rome,40,slovakian,1,78533,8
586,137,157,rome,40,slovakian,1,78533,8
213,84,85,rome,40,slovakian,1,78533,8
328,63,44,rome,40,slovakian,1,78533,8
621,66,44,rome,40,slovakian,1,78533,8
330,187,211,rome,40,slovakian,1,78533,8
932,114,86,rome,40,slovakian,1,78533,8
364,118,108,rome,40,slovakian,1,78533,8
651,88,85,rome,40,slovakian,1,78533,8
513,66,43,rome,40,slovakian,1,78533,8
934,65,46,rome,40,slovakian,1,78533,8
739,145,156,rome,40,slovakian,1,78533,8
273,133,104,rome,40,slovakian,1,78533,8
46,206,208,rome,40,slovakian,1,78533,8
907,130,106,rome,40,slovakian,1,78533,8
991,140,146,rome,40,slovakian,1,78533,8
489,215,209,rome,40,slovakian,1,78533,8
843,199,217,rome,40,slovakian,1,78533,8
381,113,86,rome,40,slovakian,1,78533,8
