hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
353,42,14,sofia,8,bulgarian,1,78501,11
578,114,17,sofia,8,bulgarian,1,78501,11
44,54,0,sofia,8,bulgarian,1,78501,11
542,62,0,sofia,8,bulgarian,1,78501,11
899,97,8,sofia,8,bulgarian,1,78501,11
470,72,6,sofia,8,bulgarian,1,78501,11
107,46,0,sofia,8,bulgarian,1,78501,11
109,98,8,sofia,8,bulgarian,1,78501,11
272,47,0,sofia,8,bulgarian,1,78501,11
590,83,0,sofia,8,bulgarian,1,78501,11
802,82,0,sofia,8,bulgarian,1,78501,11
653,121,9,sofia,8,bulgarian,1,78501,11
597,239,8,sofia,8,bulgarian,1,78501,11
181,100,11,sofia,8,bulgarian,1,78501,11
923,53,2,sofia,8,bulgarian,1,78501,11
270,116,12,sofia,8,bulgarian,1,78501,11
4,42,0,sofia,8,bulgarian,1,78501,11
304,86,21,sofia,8,bulgarian,1,78501,11
601,100,3,sofia,8,bulgarian,1,78501,11
649,189,8,sofia,8,bulgarian,1,78501,11
883,128,7,sofia,8,bulgarian,1,78501,11
815,189,8,sofia,8,bulgarian,1,78501,11
203,116,10,sofia,8,bulgarian,1,78501,11
145,98,8,sofia,8,bulgarian,1,78501,11
554,44,0,sofia,8,bulgarian,1,78501,11
25,229,8,sofia,8,bulgarian,1,78501,11
201,92,8,sofia,8,bulgarian,1,78501,11
287,178,10,sofia,8,bulgarian,1,78501,11
262,97,0,sofia,8,bulgarian,1,78501,11
416,99,5,sofia,8,bulgarian,1,78501,11
814,227,8,sofia,8,bulgarian,1,78501,11
665,66,10,sofia,8,bulgarian,1,78501,11
472,44,0,sofia,8,bulgarian,1,78501,11
637,61,2,sofia,8,bulgarian,1,78501,11
383,43,0,sofia,8,bulgarian,1,78501,11
871,84,0,sofia,8,bulgarian,1,78501,11
143,57,12,sofia,8,bulgarian,1,78501,11
337,97,4,sofia,8,bulgarian,1,78501,11
862,74,6,sofia,8,bulgarian,1,78501,11
574,61,0,sofia,8,bulgarian,1,78501,11
13,59,0,sofia,8,bulgarian,1,78501,11
544,62,0,sofia,8,bulgarian,1,78501,11
608,100,8,sofia,8,bulgarian,1,78501,11
459,93,8,sofia,8,bulgarian,1,78501,11
764,63,0,sofia,8,bulgarian,1,78501,11
553,96,0,sofia,8,bulgarian,1,78501,11
968,168,6,sofia,8,bulgarian,1,78501,11
190,54,0,sofia,8,bulgarian,1,78501,11
137,44,0,sofia,8,bulgarian,1,78501,11
141,85,0,sofia,8,bulgarian,1,78501,11
302,60,1,sofia,8,bulgarian,1,78501,11
852,46,3,sofia,8,bulgarian,1,78501,11
984,60,0,sofia,8,bulgarian,1,78501,11
208,62,0,sofia,8,bulgarian,1,78501,11
683,85,1,sofia,8,bulgarian,1,78501,11
181,82,32,sofia,15,bulgarian,0,86037,1
653,110,19,sofia,15,bulgarian,0,86037,1
25,166,19,sofia,15,bulgarian,0,86037,1
553,96,6,sofia,15,bulgarian,0,86037,1
601,72,8,sofia,15,bulgarian,0,86037,1
542,62,0,sofia,15,bulgarian,0,86037,1
416,92,16,sofia,15,bulgarian,0,86037,1
683,85,16,sofia,15,bulgarian,0,86037,1
883,117,17,sofia,15,bulgarian,0,86037,1
968,122,15,sofia,15,bulgarian,0,86037,1
302,60,24,sofia,15,bulgarian,0,86037,1
337,97,14,sofia,15,bulgarian,0,86037,1
459,93,15,sofia,15,bulgarian,0,86037,1
143,57,25,sofia,15,bulgarian,0,86037,1
590,83,6,sofia,15,bulgarian,0,86037,1
554,44,0,sofia,15,bulgarian,0,86037,1
13,59,6,sofia,15,bulgarian,0,86037,1
272,47,0,sofia,15,bulgarian,0,86037,1
597,173,19,sofia,15,bulgarian,0,86037,1
574,61,4,sofia,15,bulgarian,0,86037,1
815,171,22,sofia,15,bulgarian,0,86037,1
984,60,4,sofia,15,bulgarian,0,86037,1
137,44,0,sofia,15,bulgarian,0,86037,1
383,43,10,sofia,15,bulgarian,0,86037,1
470,72,12,sofia,15,bulgarian,0,86037,1
190,54,3,sofia,15,bulgarian,0,86037,1
208,62,2,sofia,15,bulgarian,0,86037,1
544,62,0,sofia,15,bulgarian,0,86037,1
44,54,2,sofia,15,bulgarian,0,86037,1
201,92,15,sofia,15,bulgarian,0,86037,1
608,85,16,sofia,15,bulgarian,0,86037,1
270,116,22,sofia,15,bulgarian,0,86037,1
923,53,10,sofia,15,bulgarian,0,86037,1
649,141,24,sofia,15,bulgarian,0,86037,1
107,46,5,sofia,15,bulgarian,0,86037,1
353,42,17,sofia,15,bulgarian,0,86037,1
304,86,36,sofia,15,bulgarian,0,86037,1
852,46,9,sofia,15,bulgarian,0,86037,1
578,114,22,sofia,15,bulgarian,0,86037,1
472,44,0,sofia,15,bulgarian,0,86037,1
814,165,19,sofia,15,bulgarian,0,86037,1
287,178,24,sofia,15,bulgarian,0,86037,1
637,60,10,sofia,15,bulgarian,0,86037,1
665,66,13,sofia,15,bulgarian,0,86037,1
145,98,15,sofia,15,bulgarian,0,86037,1
802,82,0,sofia,15,bulgarian,0,86037,1
141,85,12,sofia,15,bulgarian,0,86037,1
109,98,15,sofia,15,bulgarian,0,86037,1
203,116,20,sofia,15,bulgarian,0,86037,1
862,74,12,sofia,15,bulgarian,0,86037,1
4,42,0,sofia,15,bulgarian,0,86037,1
416,99,0,sofia,3,bulgarian,1,100396,1
574,61,0,sofia,3,bulgarian,1,100396,1
683,85,0,sofia,3,bulgarian,1,100396,1
649,189,3,sofia,3,bulgarian,1,100396,1
201,92,3,sofia,3,bulgarian,1,100396,1
852,46,0,sofia,3,bulgarian,1,100396,1
137,44,0,sofia,3,bulgarian,1,100396,1
262,97,0,sofia,3,bulgarian,1,100396,1
608,100,4,sofia,3,bulgarian,1,100396,1
287,219,3,sofia,3,bulgarian,1,100396,1
544,62,0,sofia,3,bulgarian,1,100396,1
815,236,3,sofia,3,bulgarian,1,100396,1
145,98,3,sofia,3,bulgarian,1,100396,1
578,114,13,sofia,3,bulgarian,1,100396,1
141,85,0,sofia,3,bulgarian,1,100396,1
899,97,3,sofia,3,bulgarian,1,100396,1
764,63,0,sofia,3,bulgarian,1,100396,1
190,54,0,sofia,3,bulgarian,1,100396,1
554,44,0,sofia,3,bulgarian,1,100396,1
984,60,0,sofia,3,bulgarian,1,100396,1
107,46,0,sofia,3,bulgarian,1,100396,1
637,61,0,sofia,3,bulgarian,1,100396,1
802,82,0,sofia,3,bulgarian,1,100396,1
383,43,0,sofia,3,bulgarian,1,100396,1
923,53,0,sofia,3,bulgarian,1,100396,1
302,60,0,sofia,3,bulgarian,1,100396,1
871,84,0,sofia,3,bulgarian,1,100396,1
109,98,3,sofia,3,bulgarian,1,100396,1
597,239,3,sofia,3,bulgarian,1,100396,1
542,62,0,sofia,3,bulgarian,1,100396,1
270,116,5,sofia,3,bulgarian,1,100396,1
181,100,0,sofia,3,bulgarian,1,100396,1
862,74,2,sofia,3,bulgarian,1,100396,1
665,66,8,sofia,3,bulgarian,1,100396,1
337,97,0,sofia,3,bulgarian,1,100396,1
472,44,0,sofia,3,bulgarian,1,100396,1
4,42,0,sofia,3,bulgarian,1,100396,1
203,116,3,sofia,3,bulgarian,1,100396,1
353,42,12,sofia,3,bulgarian,1,100396,1
814,227,3,sofia,3,bulgarian,1,100396,1
601,100,1,sofia,3,bulgarian,1,100396,1
25,229,3,sofia,3,bulgarian,1,100396,1
968,168,2,sofia,3,bulgarian,1,100396,1
553,96,0,sofia,3,bulgarian,1,100396,1
883,158,2,sofia,3,bulgarian,1,100396,1
143,70,3,sofia,3,bulgarian,1,100396,1
13,59,0,sofia,3,bulgarian,1,100396,1
272,47,0,sofia,3,bulgarian,1,100396,1
590,83,0,sofia,3,bulgarian,1,100396,1
44,54,0,sofia,3,bulgarian,1,100396,1
304,86,10,sofia,3,bulgarian,1,100396,1
208,62,0,sofia,3,bulgarian,1,100396,1
871,84,2,sofia,13,bulgarian,0,104591,2
653,121,16,sofia,13,bulgarian,0,104591,2
683,85,10,sofia,13,bulgarian,0,104591,2
883,128,14,sofia,13,bulgarian,0,104591,2
665,66,12,sofia,13,bulgarian,0,104591,2
815,189,18,sofia,13,bulgarian,0,104591,2
107,46,3,sofia,13,bulgarian,0,104591,2
554,44,0,sofia,13,bulgarian,0,104591,2
637,61,7,sofia,13,bulgarian,0,104591,2
802,82,0,sofia,13,bulgarian,0,104591,2
542,62,0,sofia,13,bulgarian,0,104591,2
852,46,7,sofia,13,bulgarian,0,104591,2
337,97,11,sofia,13,bulgarian,0,104591,2
601,80,6,sofia,13,bulgarian,0,104591,2
137,44,0,sofia,13,bulgarian,0,104591,2
143,57,22,sofia,13,bulgarian,0,104591,2
544,62,0,sofia,13,bulgarian,0,104591,2
814,182,15,sofia,13,bulgarian,0,104591,2
208,62,0,sofia,13,bulgarian,0,104591,2
862,74,10,sofia,13,bulgarian,0,104591,2
272,47,0,sofia,13,bulgarian,0,104591,2
968,122,13,sofia,13,bulgarian,0,104591,2
302,60,18,sofia,13,bulgarian,0,104591,2
141,85,7,sofia,13,bulgarian,0,104591,2
459,93,13,sofia,13,bulgarian,0,104591,2
472,44,0,sofia,13,bulgarian,0,104591,2
190,54,2,sofia,13,bulgarian,0,104591,2
608,100,14,sofia,13,bulgarian,0,104591,2
578,114,20,sofia,13,bulgarian,0,104591,2
899,97,13,sofia,13,bulgarian,0,104591,2
984,60,2,sofia,13,bulgarian,0,104591,2
574,61,1,sofia,13,bulgarian,0,104591,2
383,43,0,sofia,13,bulgarian,0,104591,2
590,83,0,sofia,13,bulgarian,0,104591,2
649,154,18,sofia,13,bulgarian,0,104591,2
4,42,0,sofia,13,bulgarian,0,104591,2
304,86,31,sofia,13,bulgarian,0,104591,2
109,98,13,sofia,13,bulgarian,0,104591,2
262,97,8,sofia,13,bulgarian,0,104591,2
270,116,19,sofia,13,bulgarian,0,104591,2
44,54,0,sofia,13,bulgarian,0,104591,2
203,116,17,sofia,13,bulgarian,0,104591,2
181,82,26,sofia,13,bulgarian,0,104591,2
25,183,15,sofia,13,bulgarian,0,104591,2
145,98,13,sofia,13,bulgarian,0,104591,2
353,42,16,sofia,13,bulgarian,0,104591,2
416,99,12,sofia,13,bulgarian,0,104591,2
287,178,20,sofia,13,bulgarian,0,104591,2
923,53,8,sofia,13,bulgarian,0,104591,2
13,59,4,sofia,13,bulgarian,0,104591,2
470,72,10,sofia,13,bulgarian,0,104591,2
597,191,15,sofia,13,bulgarian,0,104591,2
553,96,4,sofia,13,bulgarian,0,104591,2
764,63,0,sofia,13,bulgarian,0,104591,2
201,92,13,sofia,13,bulgarian,0,104591,2
416,99,4,sofia,7,bulgarian,1,124654,1
353,42,13,sofia,7,bulgarian,1,124654,1
883,128,6,sofia,7,bulgarian,1,124654,1
764,63,0,sofia,7,bulgarian,1,124654,1
802,82,0,sofia,7,bulgarian,1,124654,1
968,168,5,sofia,7,bulgarian,1,124654,1
608,100,8,sofia,7,bulgarian,1,124654,1
304,86,19,sofia,7,bulgarian,1,124654,1
578,114,16,sofia,7,bulgarian,1,124654,1
542,62,0,sofia,7,bulgarian,1,124654,1
337,97,2,sofia,7,bulgarian,1,124654,1
181,100,8,sofia,7,bulgarian,1,124654,1
13,59,0,sofia,7,bulgarian,1,124654,1
262,97,0,sofia,7,bulgarian,1,124654,1
649,189,7,sofia,7,bulgarian,1,124654,1
637,61,1,sofia,7,bulgarian,1,124654,1
4,42,0,sofia,7,bulgarian,1,124654,1
472,44,0,sofia,7,bulgarian,1,124654,1
574,61,0,sofia,7,bulgarian,1,124654,1
208,62,0,sofia,7,bulgarian,1,124654,1
203,116,8,sofia,7,bulgarian,1,124654,1
190,54,0,sofia,7,bulgarian,1,124654,1
143,57,10,sofia,7,bulgarian,1,124654,1
665,66,10,sofia,7,bulgarian,1,124654,1
815,236,7,sofia,7,bulgarian,1,124654,1
25,229,7,sofia,7,bulgarian,1,124654,1
852,46,2,sofia,7,bulgarian,1,124654,1
470,72,6,sofia,7,bulgarian,1,124654,1
459,93,7,sofia,7,bulgarian,1,124654,1
899,97,7,sofia,7,bulgarian,1,124654,1
984,60,0,sofia,7,bulgarian,1,124654,1
554,44,0,sofia,7,bulgarian,1,124654,1
923,53,0,sofia,7,bulgarian,1,124654,1
141,85,0,sofia,7,bulgarian,1,124654,1
287,178,8,sofia,7,bulgarian,1,124654,1
683,85,0,sofia,7,bulgarian,1,124654,1
145,98,7,sofia,7,bulgarian,1,124654,1
272,47,0,sofia,7,bulgarian,1,124654,1
201,92,7,sofia,7,bulgarian,1,124654,1
814,227,7,sofia,7,bulgarian,1,124654,1
544,62,0,sofia,7,bulgarian,1,124654,1
137,44,0,sofia,7,bulgarian,1,124654,1
383,43,0,sofia,7,bulgarian,1,124654,1
862,74,5,sofia,7,bulgarian,1,124654,1
601,100,3,sofia,7,bulgarian,1,124654,1
590,83,0,sofia,7,bulgarian,1,124654,1
553,96,0,sofia,7,bulgarian,1,124654,1
107,46,0,sofia,7,bulgarian,1,124654,1
302,60,0,sofia,7,bulgarian,1,124654,1
109,98,7,sofia,7,bulgarian,1,124654,1
871,84,0,sofia,7,bulgarian,1,124654,1
270,116,10,sofia,7,bulgarian,1,124654,1
44,54,0,sofia,7,bulgarian,1,124654,1
653,121,8,sofia,7,bulgarian,1,124654,1
597,239,7,sofia,7,bulgarian,1,124654,1
683,85,6,sofia,11,bulgarian,1,124658,3
637,61,5,sofia,11,bulgarian,1,124658,3
107,46,0,sofia,11,bulgarian,1,124658,3
968,122,10,sofia,11,bulgarian,1,124658,3
544,62,0,sofia,11,bulgarian,1,124658,3
190,54,1,sofia,11,bulgarian,1,124658,3
470,72,9,sofia,11,bulgarian,1,124658,3
203,116,14,sofia,11,bulgarian,1,124658,3
923,53,5,sofia,11,bulgarian,1,124658,3
814,182,11,sofia,11,bulgarian,1,124658,3
181,82,19,sofia,11,bulgarian,1,124658,3
601,80,4,sofia,11,bulgarian,1,124658,3
416,99,10,sofia,11,bulgarian,1,124658,3
574,61,0,sofia,11,bulgarian,1,124658,3
137,44,0,sofia,11,bulgarian,1,124658,3
764,63,0,sofia,11,bulgarian,1,124658,3
145,98,11,sofia,11,bulgarian,1,124658,3
141,85,1,sofia,11,bulgarian,1,124658,3
270,116,16,sofia,11,bulgarian,1,124658,3
883,128,11,sofia,11,bulgarian,1,124658,3
287,178,16,sofia,11,bulgarian,1,124658,3
272,47,0,sofia,11,bulgarian,1,124658,3
553,96,2,sofia,11,bulgarian,1,124658,3
13,59,2,sofia,11,bulgarian,1,124658,3
208,62,0,sofia,11,bulgarian,1,124658,3
590,83,0,sofia,11,bulgarian,1,124658,3
815,189,14,sofia,11,bulgarian,1,124658,3
802,82,0,sofia,11,bulgarian,1,124658,3
262,97,5,sofia,11,bulgarian,1,124658,3
337,97,8,sofia,11,bulgarian,1,124658,3
302,60,11,sofia,11,bulgarian,1,124658,3
608,100,12,sofia,11,bulgarian,1,124658,3
4,42,0,sofia,11,bulgarian,1,124658,3
459,93,11,sofia,11,bulgarian,1,124658,3
25,183,11,sofia,11,bulgarian,1,124658,3
871,84,0,sofia,11,bulgarian,1,124658,3
578,114,19,sofia,11,bulgarian,1,124658,3
472,44,0,sofia,11,bulgarian,1,124658,3
