hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
608,89,76,sofia,36,french,1,85893,1
862,64,67,sofia,36,french,1,85893,1
883,112,110,sofia,36,french,1,85893,1
272,50,34,sofia,36,french,1,85893,1
554,47,86,sofia,36,french,1,85893,1
137,47,36,sofia,36,french,1,85893,1
802,83,74,sofia,36,french,1,85893,1
337,86,90,sofia,36,french,1,85893,1
472,47,120,sofia,36,french,1,85893,1
968,105,112,sofia,36,french,1,85893,1
984,62,38,sofia,36,french,1,85893,1
601,59,64,sofia,36,french,1,85893,1
590,83,94,sofia,36,french,1,85893,1
470,64,67,sofia,36,french,1,85893,1
553,98,39,sofia,36,french,1,85893,1
383,45,90,sofia,36,french,1,85893,1
262,83,82,sofia,36,french,1,85893,1
145,84,94,sofia,36,french,1,85893,1
181,85,98,sofia,36,french,1,85893,1
143,62,72,sofia,36,french,1,85893,1
764,63,35,sofia,36,french,1,85893,1
107,47,36,sofia,36,french,1,85893,1
109,87,84,sofia,36,french,1,85893,1
302,62,89,sofia,36,french,1,85893,1
44,46,31,sofia,36,french,1,85893,1
141,91,83,sofia,36,french,1,85893,1
353,46,38,sofia,36,french,1,85893,1
190,48,35,sofia,36,french,1,85893,1
287,141,165,sofia,36,french,1,85893,1
899,86,80,sofia,36,french,1,85893,1
649,140,185,sofia,36,french,1,85893,1
637,63,37,sofia,36,french,1,85893,1
815,146,165,sofia,36,french,1,85893,1
574,63,35,sofia,36,french,1,85893,1
270,103,108,sofia,36,french,1,85893,1
814,142,168,sofia,36,french,1,85893,1
923,47,68,sofia,36,french,1,85893,1
203,98,115,sofia,36,french,1,85893,1
13,59,37,sofia,36,french,1,85893,1
597,149,163,sofia,36,french,1,85893,1
304,93,118,sofia,36,french,1,85893,1
201,84,80,sofia,36,french,1,85893,1
653,97,115,sofia,36,french,1,85893,1
4,46,34,sofia,36,french,1,85893,1
416,92,84,sofia,36,french,1,85893,1
578,101,115,sofia,36,french,1,85893,1
459,86,89,sofia,36,french,1,85893,1
208,68,34,sofia,36,french,1,85893,1
542,68,65,sofia,36,french,1,85893,1
871,85,87,sofia,36,french,1,85893,1
25,130,165,sofia,36,french,1,85893,1
665,61,60,sofia,36,french,1,85893,1
544,63,35,sofia,36,french,1,85893,1
304,93,164,sofia,41,french,0,100130,1
143,58,92,sofia,41,french,0,100130,1
764,62,46,sofia,41,french,0,100130,1
272,47,47,sofia,41,french,0,100130,1
862,64,92,sofia,41,french,0,100130,1
578,97,158,sofia,41,french,0,100130,1
802,81,95,sofia,41,french,0,100130,1
899,83,114,sofia,41,french,0,100130,1
416,84,118,sofia,41,french,0,100130,1
871,82,117,sofia,41,french,0,100130,1
637,62,47,sofia,41,french,0,100130,1
799,41,48,sofia,41,french,0,100130,1
201,84,112,sofia,41,french,0,100130,1
683,84,118,sofia,41,french,0,100130,1
815,140,225,sofia,41,french,0,100130,1
665,56,92,sofia,41,french,0,100130,1
968,101,153,sofia,41,french,0,100130,1
208,61,45,sofia,41,french,0,100130,1
601,59,91,sofia,41,french,0,100130,1
141,85,116,sofia,41,french,0,100130,1
287,141,234,sofia,41,french,0,100130,1
44,46,46,sofia,41,french,0,100130,1
590,81,118,sofia,41,french,0,100130,1
107,47,47,sofia,41,french,0,100130,1
262,83,115,sofia,41,french,0,100130,1
203,93,164,sofia,41,french,0,100130,1
383,43,118,sofia,41,french,0,100130,1
459,83,113,sofia,41,french,0,100130,1
553,96,47,sofia,41,french,0,100130,1
554,46,114,sofia,41,french,0,100130,1
190,48,46,sofia,41,french,0,100130,1
270,93,156,sofia,41,french,0,100130,1
883,99,159,sofia,41,french,0,100130,1
25,130,233,sofia,41,french,0,100130,1
302,60,114,sofia,41,french,0,100130,1
13,58,48,sofia,41,french,0,100130,1
137,43,48,sofia,41,french,0,100130,1
181,85,119,sofia,41,french,0,100130,1
653,92,162,sofia,41,french,0,100130,1
145,84,122,sofia,41,french,0,100130,1
852,47,47,sofia,41,french,0,100130,1
984,62,47,sofia,41,french,0,100130,1
353,46,48,sofia,41,french,0,100130,1
574,61,47,sofia,41,french,0,100130,1
109,84,116,sofia,41,french,0,100130,1
544,61,47,sofia,41,french,0,100130,1
472,45,160,sofia,41,french,0,100130,1
814,136,238,sofia,41,french,0,100130,1
597,136,227,sofia,41,french,0,100130,1
4,42,46,sofia,41,french,0,100130,1
470,61,93,sofia,41,french,0,100130,1
337,86,113,sofia,41,french,0,100130,1
923,45,91,sofia,41,french,0,100130,1
608,85,114,sofia,41,french,0,100130,1
649,134,232,sofia,41,french,0,100130,1
542,61,92,sofia,41,french,0,100130,1
802,83,83,sofia,38,french,0,100352,1
923,47,77,sofia,38,french,0,100352,1
653,97,132,sofia,38,french,0,100352,1
637,63,41,sofia,38,french,0,100352,1
44,46,37,sofia,38,french,0,100352,1
137,46,41,sofia,38,french,0,100352,1
470,64,77,sofia,38,french,0,100352,1
459,86,98,sofia,38,french,0,100352,1
337,86,100,sofia,38,french,0,100352,1
13,59,41,sofia,38,french,0,100352,1
601,59,75,sofia,38,french,0,100352,1
287,141,193,sofia,38,french,0,100352,1
4,45,38,sofia,38,french,0,100352,1
574,62,40,sofia,38,french,0,100352,1
302,62,98,sofia,38,french,0,100352,1
968,105,130,sofia,38,french,0,100352,1
262,83,96,sofia,38,french,0,100352,1
109,87,94,sofia,38,french,0,100352,1
899,83,92,sofia,38,french,0,100352,1
883,103,127,sofia,38,french,0,100352,1
270,98,129,sofia,38,french,0,100352,1
208,68,38,sofia,38,french,0,100352,1
272,48,40,sofia,38,french,0,100352,1
190,48,38,sofia,38,french,0,100352,1
416,88,98,sofia,38,french,0,100352,1
554,47,96,sofia,38,french,0,100352,1
107,47,40,sofia,38,french,0,100352,1
814,136,195,sofia,38,french,0,100352,1
984,62,42,sofia,38,french,0,100352,1
608,89,90,sofia,38,french,0,100352,1
665,61,70,sofia,38,french,0,100352,1
383,45,98,sofia,38,french,0,100352,1
871,85,99,sofia,38,french,0,100352,1
141,91,94,sofia,38,french,0,100352,1
304,93,133,sofia,38,french,0,100352,1
25,130,191,sofia,38,french,0,100352,1
597,149,185,sofia,38,french,0,100352,1
590,83,104,sofia,38,french,0,100352,1
201,84,92,sofia,38,french,0,100352,1
544,63,40,sofia,38,french,0,100352,1
815,146,188,sofia,38,french,0,100352,1
553,98,42,sofia,38,french,0,100352,1
181,85,105,sofia,38,french,0,100352,1
578,101,130,sofia,38,french,0,100352,1
764,63,39,sofia,38,french,0,100352,1
542,68,73,sofia,38,french,0,100352,1
203,98,133,sofia,38,french,0,100352,1
472,46,134,sofia,38,french,0,100352,1
143,62,78,sofia,38,french,0,100352,1
145,84,104,sofia,38,french,0,100352,1
862,64,76,sofia,38,french,0,100352,1
353,46,42,sofia,38,french,0,100352,1
649,140,203,sofia,38,french,0,100352,1
141,91,73,sofia,34,french,0,124723,1
815,153,143,sofia,34,french,0,124723,1
542,68,57,sofia,34,french,0,124723,1
383,45,82,sofia,34,french,0,124723,1
304,93,103,sofia,34,french,0,124723,1
145,84,82,sofia,34,french,0,124723,1
553,98,36,sofia,34,french,0,124723,1
883,112,95,sofia,34,french,0,124723,1
601,63,57,sofia,34,french,0,124723,1
143,62,67,sofia,34,french,0,124723,1
270,107,92,sofia,34,french,0,124723,1
871,85,78,sofia,34,french,0,124723,1
814,142,147,sofia,34,french,0,124723,1
181,85,90,sofia,34,french,0,124723,1
608,92,65,sofia,34,french,0,124723,1
137,47,33,sofia,34,french,0,124723,1
272,51,29,sofia,34,french,0,124723,1
653,97,101,sofia,34,french,0,124723,1
764,63,32,sofia,34,french,0,124723,1
262,86,70,sofia,34,french,0,124723,1
899,86,68,sofia,34,french,0,124723,1
968,109,96,sofia,34,french,0,124723,1
416,92,72,sofia,34,french,0,124723,1
574,66,31,sofia,34,french,0,124723,1
459,86,79,sofia,34,french,0,124723,1
590,83,82,sofia,34,french,0,124723,1
665,61,51,sofia,34,french,0,124723,1
109,87,74,sofia,34,french,0,124723,1
472,47,106,sofia,34,french,0,124723,1
337,86,80,sofia,34,french,0,124723,1
578,101,102,sofia,34,french,0,124723,1
44,48,25,sofia,34,french,0,124723,1
25,130,139,sofia,34,french,0,124723,1
353,46,36,sofia,34,french,0,124723,1
862,64,58,sofia,34,french,0,124723,1
470,64,58,sofia,34,french,0,124723,1
802,83,64,sofia,34,french,0,124723,1
287,147,145,sofia,34,french,0,124723,1
13,59,33,sofia,34,french,0,124723,1
544,63,30,sofia,34,french,0,124723,1
984,63,33,sofia,34,french,0,124723,1
201,84,68,sofia,34,french,0,124723,1
597,149,139,sofia,34,french,0,124723,1
302,62,82,sofia,34,french,0,124723,1
107,47,31,sofia,34,french,0,124723,1
637,63,34,sofia,34,french,0,124723,1
554,47,76,sofia,34,french,0,124723,1
923,47,58,sofia,34,french,0,124723,1
4,46,30,sofia,34,french,0,124723,1
208,68,32,sofia,34,french,0,124723,1
649,140,167,sofia,34,french,0,124723,1
203,98,96,sofia,34,french,0,124723,1
190,48,31,sofia,34,french,0,124723,1
287,173,29,sofia,17,french,1,124749,1
337,90,18,sofia,17,french,1,124749,1
107,50,8,sofia,17,french,1,124749,1
44,58,4,sofia,17,french,1,124749,1
143,62,28,sofia,17,french,1,124749,1
578,123,23,sofia,17,french,1,124749,1
968,133,18,sofia,17,french,1,124749,1
416,100,20,sofia,17,french,1,124749,1
802,88,6,sofia,17,french,1,124749,1
470,78,14,sofia,17,french,1,124749,1
601,73,10,sofia,17,french,1,124749,1
137,48,0,sofia,17,french,1,124749,1
304,93,41,sofia,17,french,1,124749,1
141,92,17,sofia,17,french,1,124749,1
862,81,13,sofia,17,french,1,124749,1
665,72,14,sofia,17,french,1,124749,1
883,117,22,sofia,17,french,1,124749,1
814,167,26,sofia,17,french,1,124749,1
208,68,5,sofia,17,french,1,124749,1
554,48,0,sofia,17,french,1,124749,1
553,104,8,sofia,17,french,1,124749,1
25,168,26,sofia,17,french,1,124749,1
190,58,5,sofia,17,french,1,124749,1
984,64,6,sofia,17,french,1,124749,1
637,66,12,sofia,17,french,1,124749,1
472,48,6,sofia,17,french,1,124749,1
383,47,20,sofia,17,french,1,124749,1
201,92,17,sofia,17,french,1,124749,1
923,57,12,sofia,17,french,1,124749,1
272,51,0,sofia,17,french,1,124749,1
203,125,22,sofia,17,french,1,124749,1
649,140,34,sofia,17,french,1,124749,1
597,174,26,sofia,17,french,1,124749,1
181,85,38,sofia,17,french,1,124749,1
544,68,1,sofia,17,french,1,124749,1
815,173,29,sofia,17,french,1,124749,1
145,106,17,sofia,17,french,1,124749,1
653,109,24,sofia,17,french,1,124749,1
574,67,6,sofia,17,french,1,124749,1
608,92,21,sofia,17,french,1,124749,1
852,50,10,sofia,17,french,1,124749,1
683,92,22,sofia,17,french,1,124749,1
542,68,0,sofia,17,french,1,124749,1
13,63,9,sofia,17,french,1,124749,1
302,62,31,sofia,17,french,1,124749,1
4,46,0,sofia,17,french,1,124749,1
590,90,14,sofia,17,french,1,124749,1
270,125,24,sofia,17,french,1,124749,1
109,106,17,sofia,17,french,1,124749,1
459,93,17,sofia,17,french,1,124749,1
353,46,17,sofia,17,french,1,124749,1
145,84,76,sofia,33,french,0,131023,2
553,98,35,sofia,33,french,0,131023,2
25,137,129,sofia,33,french,0,131023,2
665,61,47,sofia,33,french,0,131023,2
203,98,86,sofia,33,french,0,131023,2
968,109,88,sofia,33,french,0,131023,2
862,64,53,sofia,33,french,0,131023,2
272,51,27,sofia,33,french,0,131023,2
554,47,72,sofia,33,french,0,131023,2
459,86,72,sofia,33,french,0,131023,2
416,92,66,sofia,33,french,0,131023,2
637,63,33,sofia,33,french,0,131023,2
190,48,29,sofia,33,french,0,131023,2
208,68,30,sofia,33,french,0,131023,2
764,63,30,sofia,33,french,0,131023,2
44,50,23,sofia,33,french,0,131023,2
815,153,134,sofia,33,french,0,131023,2
984,63,31,sofia,33,french,0,131023,2
653,97,94,sofia,33,french,0,131023,2
601,63,52,sofia,33,french,0,131023,2
472,47,98,sofia,33,french,0,131023,2
883,112,87,sofia,33,french,0,131023,2
302,62,80,sofia,33,french,0,131023,2
383,45,80,sofia,33,french,0,131023,2
574,66,29,sofia,33,french,0,131023,2
683,92,74,sofia,33,french,0,131023,2
923,47,53,sofia,33,french,0,131023,2
470,64,53,sofia,33,french,0,131023,2
649,140,157,sofia,33,french,0,131023,2
304,93,97,sofia,33,french,0,131023,2
13,59,31,sofia,33,french,0,131023,2
137,47,31,sofia,33,french,0,131023,2
871,85,72,sofia,33,french,0,131023,2
590,83,76,sofia,33,french,0,131023,2
353,46,35,sofia,33,french,0,131023,2
802,83,60,sofia,33,french,0,131023,2
107,47,29,sofia,33,french,0,131023,2
578,101,94,sofia,33,french,0,131023,2
4,46,29,sofia,33,french,0,131023,2
181,85,86,sofia,33,french,0,131023,2
262,86,65,sofia,33,french,0,131023,2
899,86,62,sofia,33,french,0,131023,2
597,149,130,sofia,33,french,0,131023,2
544,64,28,sofia,33,french,0,131023,2
201,84,62,sofia,33,french,0,131023,2
542,68,53,sofia,33,french,0,131023,2
337,86,75,sofia,33,french,0,131023,2
814,142,137,sofia,33,french,0,131023,2
270,107,83,sofia,33,french,0,131023,2
287,147,134,sofia,33,french,0,131023,2
143,62,64,sofia,33,french,0,131023,2
608,92,60,sofia,33,french,0,131023,2
109,87,69,sofia,33,french,0,131023,2
141,91,69,sofia,33,french,0,131023,2
852,50,28,sofia,33,french,0,131023,2
141,92,17,sofia,17,french,0,166240,2
554,48,0,sofia,17,french,0,166240,2
814,167,26,sofia,17,french,0,166240,2
137,48,0,sofia,17,french,0,166240,2
270,125,24,sofia,17,french,0,166240,2
145,106,17,sofia,17,french,0,166240,2
13,63,9,sofia,17,french,0,166240,2
472,48,6,sofia,17,french,0,166240,2
653,109,24,sofia,17,french,0,166240,2
862,81,13,sofia,17,french,0,166240,2
637,66,12,sofia,17,french,0,166240,2
459,93,17,sofia,17,french,0,166240,2
542,68,0,sofia,17,french,0,166240,2
143,62,28,sofia,17,french,0,166240,2
353,46,17,sofia,17,french,0,166240,2
883,117,22,sofia,17,french,0,166240,2
601,73,10,sofia,17,french,0,166240,2
968,133,18,sofia,17,french,0,166240,2
203,125,22,sofia,17,french,0,166240,2
383,47,20,sofia,17,french,0,166240,2
802,88,6,sofia,17,french,0,166240,2
544,68,1,sofia,17,french,0,166240,2
304,93,41,sofia,17,french,0,166240,2
337,90,18,sofia,17,french,0,166240,2
649,140,34,sofia,17,french,0,166240,2
470,78,14,sofia,17,french,0,166240,2
107,50,8,sofia,17,french,0,166240,2
590,90,14,sofia,17,french,0,166240,2
181,85,38,sofia,17,french,0,166240,2
109,106,17,sofia,17,french,0,166240,2
287,173,29,sofia,17,french,0,166240,2
852,50,10,sofia,17,french,0,166240,2
416,100,20,sofia,17,french,0,166240,2
4,46,0,sofia,17,french,0,166240,2
208,68,5,sofia,17,french,0,166240,2
190,58,5,sofia,17,french,0,166240,2
665,72,14,sofia,17,french,0,166240,2
683,92,22,sofia,17,french,0,166240,2
553,104,8,sofia,17,french,0,166240,2
25,168,26,sofia,17,french,0,166240,2
815,173,29,sofia,17,french,0,166240,2
574,67,6,sofia,17,french,0,166240,2
44,58,4,sofia,17,french,0,166240,2
272,51,0,sofia,17,french,0,166240,2
201,92,17,sofia,17,french,0,166240,2
923,57,12,sofia,17,french,0,166240,2
302,62,31,sofia,17,french,0,166240,2
608,92,21,sofia,17,french,0,166240,2
597,174,26,sofia,17,french,0,166240,2
578,123,23,sofia,17,french,0,166240,2
984,64,6,sofia,17,french,0,166240,2
597,142,212,sofia,40,french,0,202130,2
190,48,43,sofia,40,french,0,202130,2
815,146,212,sofia,40,french,0,202130,2
764,62,43,sofia,40,french,0,202130,2
416,84,110,sofia,40,french,0,202130,2
871,84,111,sofia,40,french,0,202130,2
653,92,150,sofia,40,french,0,202130,2
472,46,152,sofia,40,french,0,202130,2
304,93,154,sofia,40,french,0,202130,2
883,99,147,sofia,40,french,0,202130,2
968,105,145,sofia,40,french,0,202130,2
208,63,42,sofia,40,french,0,202130,2
143,58,86,sofia,40,french,0,202130,2
383,43,109,sofia,40,french,0,202130,2
13,59,45,sofia,40,french,0,202130,2
459,86,107,sofia,40,french,0,202130,2
554,47,108,sofia,40,french,0,202130,2
145,84,116,sofia,40,french,0,202130,2
109,84,108,sofia,40,french,0,202130,2
578,97,146,sofia,40,french,0,202130,2
923,47,86,sofia,40,french,0,202130,2
802,83,91,sofia,40,french,0,202130,2
984,62,46,sofia,40,french,0,202130,2
181,85,114,sofia,40,french,0,202130,2
799,42,46,sofia,40,french,0,202130,2
542,63,85,sofia,40,french,0,202130,2
899,83,108,sofia,40,french,0,202130,2
4,43,43,sofia,40,french,0,202130,2
544,63,44,sofia,40,french,0,202130,2
649,140,222,sofia,40,french,0,202130,2
262,83,108,sofia,40,french,0,202130,2
574,62,45,sofia,40,french,0,202130,2
590,83,113,sofia,40,french,0,202130,2
44,46,42,sofia,40,french,0,202130,2
337,86,108,sofia,40,french,0,202130,2
201,84,106,sofia,40,french,0,202130,2
141,85,107,sofia,40,french,0,202130,2
665,56,83,sofia,40,french,0,202130,2
814,136,225,sofia,40,french,0,202130,2
137,45,45,sofia,40,french,0,202130,2
270,98,147,sofia,40,french,0,202130,2
601,59,85,sofia,40,french,0,202130,2
107,47,45,sofia,40,french,0,202130,2
353,46,45,sofia,40,french,0,202130,2
287,141,218,sofia,40,french,0,202130,2
470,61,86,sofia,40,french,0,202130,2
25,130,218,sofia,40,french,0,202130,2
203,93,153,sofia,40,french,0,202130,2
862,64,86,sofia,40,french,0,202130,2
553,98,45,sofia,40,french,0,202130,2
608,85,106,sofia,40,french,0,202130,2
302,62,108,sofia,40,french,0,202130,2
272,48,45,sofia,40,french,0,202130,2
637,62,45,sofia,40,french,0,202130,2
