hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
852,49,7,sofia,13,italian,1,78459,2
637,65,7,sofia,13,italian,1,78459,2
459,99,13,sofia,13,italian,1,78459,2
899,103,13,sofia,13,italian,1,78459,2
143,60,22,sofia,13,italian,1,78459,2
203,123,17,sofia,13,italian,1,78459,2
353,45,16,sofia,13,italian,1,78459,2
337,103,11,sofia,13,italian,1,78459,2
653,129,16,sofia,13,italian,1,78459,2
802,87,0,sofia,13,italian,1,78459,2
544,66,0,sofia,13,italian,1,78459,2
270,123,19,sofia,13,italian,1,78459,2
814,194,15,sofia,13,italian,1,78459,2
597,203,15,sofia,13,italian,1,78459,2
590,88,0,sofia,13,italian,1,78459,2
608,106,14,sofia,13,italian,1,78459,2
190,57,2,sofia,13,italian,1,78459,2
923,56,8,sofia,13,italian,1,78459,2
472,47,0,sofia,13,italian,1,78459,2
470,76,10,sofia,13,italian,1,78459,2
665,70,12,sofia,13,italian,1,78459,2
383,46,0,sofia,13,italian,1,78459,2
862,79,10,sofia,13,italian,1,78459,2
4,45,0,sofia,13,italian,1,78459,2
416,105,12,sofia,13,italian,1,78459,2
107,49,3,sofia,13,italian,1,78459,2
25,195,15,sofia,13,italian,1,78459,2
553,102,4,sofia,13,italian,1,78459,2
137,47,0,sofia,13,italian,1,78459,2
542,66,0,sofia,13,italian,1,78459,2
13,62,4,sofia,13,italian,1,78459,2
883,136,14,sofia,13,italian,1,78459,2
304,92,31,sofia,13,italian,1,78459,2
109,104,13,sofia,13,italian,1,78459,2
208,66,0,sofia,13,italian,1,78459,2
554,47,0,sofia,13,italian,1,78459,2
815,201,18,sofia,13,italian,1,78459,2
302,63,18,sofia,13,italian,1,78459,2
262,103,8,sofia,13,italian,1,78459,2
764,67,0,sofia,13,italian,1,78459,2
287,189,20,sofia,13,italian,1,78459,2
683,91,10,sofia,13,italian,1,78459,2
181,87,26,sofia,13,italian,1,78459,2
601,85,6,sofia,13,italian,1,78459,2
