hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
25,180,19,sofia,15,luxembourgish,1,78461,2
597,188,19,sofia,15,luxembourgish,1,78461,2
302,64,24,sofia,15,luxembourgish,1,78461,2
683,92,16,sofia,15,luxembourgish,1,78461,2
472,48,0,sofia,15,luxembourgish,1,78461,2
814,178,19,sofia,15,luxembourgish,1,78461,2
416,100,16,sofia,15,luxembourgish,1,78461,2
459,101,15,sofia,15,luxembourgish,1,78461,2
304,93,36,sofia,15,luxembourgish,1,78461,2
608,92,16,sofia,15,luxembourgish,1,78461,2
109,106,15,sofia,15,luxembourgish,1,78461,2
4,46,0,sofia,15,luxembourgish,1,78461,2
208,68,2,sofia,15,luxembourgish,1,78461,2
44,58,2,sofia,15,luxembourgish,1,78461,2
272,51,0,sofia,15,luxembourgish,1,78461,2
470,78,12,sofia,15,luxembourgish,1,78461,2
802,88,0,sofia,15,luxembourgish,1,78461,2
815,186,22,sofia,15,luxembourgish,1,78461,2
107,50,5,sofia,15,luxembourgish,1,78461,2
137,48,0,sofia,15,luxembourgish,1,78461,2
601,78,8,sofia,15,luxembourgish,1,78461,2
554,48,0,sofia,15,luxembourgish,1,78461,2
145,106,15,sofia,15,luxembourgish,1,78461,2
190,58,3,sofia,15,luxembourgish,1,78461,2
141,92,12,sofia,15,luxembourgish,1,78461,2
353,46,17,sofia,15,luxembourgish,1,78461,2
383,47,10,sofia,15,luxembourgish,1,78461,2
578,123,22,sofia,15,luxembourgish,1,78461,2
553,104,6,sofia,15,luxembourgish,1,78461,2
574,67,4,sofia,15,luxembourgish,1,78461,2
852,50,9,sofia,15,luxembourgish,1,78461,2
270,125,22,sofia,15,luxembourgish,1,78461,2
181,89,32,sofia,15,luxembourgish,1,78461,2
203,125,20,sofia,15,luxembourgish,1,78461,2
649,153,24,sofia,15,luxembourgish,1,78461,2
984,64,4,sofia,15,luxembourgish,1,78461,2
143,62,25,sofia,15,luxembourgish,1,78461,2
862,81,12,sofia,15,luxembourgish,1,78461,2
201,100,15,sofia,15,luxembourgish,1,78461,2
883,126,17,sofia,15,luxembourgish,1,78461,2
544,68,0,sofia,15,luxembourgish,1,78461,2
13,63,6,sofia,15,luxembourgish,1,78461,2
287,193,24,sofia,15,luxembourgish,1,78461,2
337,105,14,sofia,15,luxembourgish,1,78461,2
637,66,10,sofia,15,luxembourgish,1,78461,2
923,57,10,sofia,15,luxembourgish,1,78461,2
665,72,13,sofia,15,luxembourgish,1,78461,2
542,68,0,sofia,15,luxembourgish,1,78461,2
590,90,6,sofia,15,luxembourgish,1,78461,2
653,119,19,sofia,15,luxembourgish,1,78461,2
968,133,15,sofia,15,luxembourgish,1,78461,2
137,48,0,sofia,13,luxembourgish,1,78506,5
601,87,6,sofia,13,luxembourgish,1,78506,5
208,68,0,sofia,13,luxembourgish,1,78506,5
574,67,1,sofia,13,luxembourgish,1,78506,5
302,64,18,sofia,13,luxembourgish,1,78506,5
383,47,0,sofia,13,luxembourgish,1,78506,5
968,133,13,sofia,13,luxembourgish,1,78506,5
542,68,0,sofia,13,luxembourgish,1,78506,5
862,81,10,sofia,13,luxembourgish,1,78506,5
4,46,0,sofia,13,luxembourgish,1,78506,5
416,107,12,sofia,13,luxembourgish,1,78506,5
871,91,2,sofia,13,luxembourgish,1,78506,5
262,105,8,sofia,13,luxembourgish,1,78506,5
764,69,0,sofia,13,luxembourgish,1,78506,5
554,48,0,sofia,13,luxembourgish,1,78506,5
270,125,19,sofia,13,luxembourgish,1,78506,5
814,197,15,sofia,13,luxembourgish,1,78506,5
353,46,16,sofia,13,luxembourgish,1,78506,5
637,67,7,sofia,13,luxembourgish,1,78506,5
459,101,13,sofia,13,luxembourgish,1,78506,5
653,132,16,sofia,13,luxembourgish,1,78506,5
544,68,0,sofia,13,luxembourgish,1,78506,5
141,92,7,sofia,13,luxembourgish,1,78506,5
337,105,11,sofia,13,luxembourgish,1,78506,5
649,167,18,sofia,13,luxembourgish,1,78506,5
287,193,20,sofia,13,luxembourgish,1,78506,5
203,125,17,sofia,13,luxembourgish,1,78506,5
852,50,7,sofia,13,luxembourgish,1,78506,5
470,78,10,sofia,13,luxembourgish,1,78506,5
597,207,15,sofia,13,luxembourgish,1,78506,5
802,88,0,sofia,13,luxembourgish,1,78506,5
13,63,4,sofia,13,luxembourgish,1,78506,5
883,139,14,sofia,13,luxembourgish,1,78506,5
665,72,12,sofia,13,luxembourgish,1,78506,5
984,64,2,sofia,13,luxembourgish,1,78506,5
44,58,0,sofia,13,luxembourgish,1,78506,5
25,198,15,sofia,13,luxembourgish,1,78506,5
272,51,0,sofia,13,luxembourgish,1,78506,5
923,57,8,sofia,13,luxembourgish,1,78506,5
190,58,2,sofia,13,luxembourgish,1,78506,5
109,106,13,sofia,13,luxembourgish,1,78506,5
145,106,13,sofia,13,luxembourgish,1,78506,5
304,93,31,sofia,13,luxembourgish,1,78506,5
553,104,4,sofia,13,luxembourgish,1,78506,5
181,89,26,sofia,13,luxembourgish,1,78506,5
590,90,0,sofia,13,luxembourgish,1,78506,5
899,105,13,sofia,13,luxembourgish,1,78506,5
815,205,18,sofia,13,luxembourgish,1,78506,5
201,100,13,sofia,13,luxembourgish,1,78506,5
683,92,10,sofia,13,luxembourgish,1,78506,5
578,123,20,sofia,13,luxembourgish,1,78506,5
107,50,3,sofia,13,luxembourgish,1,78506,5
472,48,0,sofia,13,luxembourgish,1,78506,5
608,108,14,sofia,13,luxembourgish,1,78506,5
143,62,22,sofia,13,luxembourgish,1,78506,5
109,87,49,sofia,28,luxembourgish,1,104562,2
304,93,73,sofia,28,luxembourgish,1,104562,2
208,68,24,sofia,28,luxembourgish,1,104562,2
553,98,26,sofia,28,luxembourgish,1,104562,2
984,64,21,sofia,28,luxembourgish,1,104562,2
608,92,44,sofia,28,luxembourgish,1,104562,2
574,66,20,sofia,28,luxembourgish,1,104562,2
554,47,48,sofia,28,luxembourgish,1,104562,2
883,117,60,sofia,28,luxembourgish,1,104562,2
472,48,63,sofia,28,luxembourgish,1,104562,2
597,149,91,sofia,28,luxembourgish,1,104562,2
203,103,62,sofia,28,luxembourgish,1,104562,2
815,159,87,sofia,28,luxembourgish,1,104562,2
337,86,53,sofia,28,luxembourgish,1,104562,2
107,47,22,sofia,28,luxembourgish,1,104562,2
459,90,45,sofia,28,luxembourgish,1,104562,2
899,93,39,sofia,28,luxembourgish,1,104562,2
13,59,23,sofia,28,luxembourgish,1,104562,2
181,85,70,sofia,28,luxembourgish,1,104562,2
653,101,66,sofia,28,luxembourgish,1,104562,2
44,52,16,sofia,28,luxembourgish,1,104562,2
302,62,64,sofia,28,luxembourgish,1,104562,2
968,109,57,sofia,28,luxembourgish,1,104562,2
201,88,40,sofia,28,luxembourgish,1,104562,2
590,88,51,sofia,28,luxembourgish,1,104562,2
578,105,64,sofia,28,luxembourgish,1,104562,2
143,62,51,sofia,28,luxembourgish,1,104562,2
764,63,21,sofia,28,luxembourgish,1,104562,2
272,51,18,sofia,28,luxembourgish,1,104562,2
544,68,18,sofia,28,luxembourgish,1,104562,2
270,111,52,sofia,28,luxembourgish,1,104562,2
683,92,51,sofia,28,luxembourgish,1,104562,2
4,46,18,sofia,28,luxembourgish,1,104562,2
145,87,46,sofia,28,luxembourgish,1,104562,2
665,61,31,sofia,28,luxembourgish,1,104562,2
542,68,31,sofia,28,luxembourgish,1,104562,2
353,46,28,sofia,28,luxembourgish,1,104562,2
862,64,36,sofia,28,luxembourgish,1,104562,2
383,45,62,sofia,28,luxembourgish,1,104562,2
601,68,33,sofia,28,luxembourgish,1,104562,2
190,48,17,sofia,28,luxembourgish,1,104562,2
649,140,108,sofia,28,luxembourgish,1,104562,2
923,49,35,sofia,28,luxembourgish,1,104562,2
814,142,93,sofia,28,luxembourgish,1,104562,2
852,50,19,sofia,28,luxembourgish,1,104562,2
141,91,49,sofia,28,luxembourgish,1,104562,2
262,90,44,sofia,28,luxembourgish,1,104562,2
137,47,21,sofia,28,luxembourgish,1,104562,2
25,137,91,sofia,28,luxembourgish,1,104562,2
637,63,26,sofia,28,luxembourgish,1,104562,2
287,154,83,sofia,28,luxembourgish,1,104562,2
470,68,32,sofia,28,luxembourgish,1,104562,2
416,100,44,sofia,28,luxembourgish,1,104562,2
802,86,41,sofia,28,luxembourgish,1,104562,2
871,87,50,sofia,28,luxembourgish,1,104562,2
554,48,86,sofia,36,luxembourgish,0,104612,4
544,66,35,sofia,36,luxembourgish,0,104612,4
