hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
353,45,22,sofia,23,slovene,0,78469,4
871,85,34,sofia,23,slovene,0,78469,4
601,67,22,sofia,23,slovene,0,78469,4
597,158,54,sofia,23,slovene,0,78469,4
107,47,15,sofia,23,slovene,0,78469,4
665,65,18,sofia,23,slovene,0,78469,4
852,49,15,sofia,23,slovene,0,78469,4
637,62,20,sofia,23,slovene,0,78469,4
578,103,42,sofia,23,slovene,0,78469,4
984,63,14,sofia,23,slovene,0,78469,4
4,45,8,sofia,23,slovene,0,78469,4
544,66,10,sofia,23,slovene,0,78469,4
814,145,58,sofia,23,slovene,0,78469,4
13,58,16,sofia,23,slovene,0,78469,4
25,146,54,sofia,23,slovene,0,78469,4
649,137,71,sofia,23,slovene,0,78469,4
862,69,23,sofia,23,slovene,0,78469,4
302,61,52,sofia,23,slovene,0,78469,4
141,91,32,sofia,23,slovene,0,78469,4
44,53,10,sofia,23,slovene,0,78469,4
201,86,29,sofia,23,slovene,0,78469,4
383,46,42,sofia,23,slovene,0,78469,4
553,100,18,sofia,23,slovene,0,78469,4
815,170,53,sofia,23,slovene,0,78469,4
683,91,39,sofia,23,slovene,0,78469,4
416,98,32,sofia,23,slovene,0,78469,4
923,50,22,sofia,23,slovene,0,78469,4
337,84,36,sofia,23,slovene,0,78469,4
542,66,13,sofia,23,slovene,0,78469,4
262,88,26,sofia,23,slovene,0,78469,4
203,101,38,sofia,23,slovene,0,78469,4
883,114,40,sofia,23,slovene,0,78469,4
143,60,39,sofia,23,slovene,0,78469,4
459,92,30,sofia,23,slovene,0,78469,4
208,66,16,sofia,23,slovene,0,78469,4
574,65,13,sofia,23,slovene,0,78469,4
764,64,14,sofia,23,slovene,0,78469,4
304,92,59,sofia,23,slovene,0,78469,4
137,47,12,sofia,23,slovene,0,78469,4
287,163,52,sofia,23,slovene,0,78469,4
272,50,9,sofia,23,slovene,0,78469,4
145,89,29,sofia,23,slovene,0,78469,4
190,57,10,sofia,23,slovene,0,78469,4
181,83,55,sofia,23,slovene,0,78469,4
270,113,36,sofia,23,slovene,0,78469,4
109,89,32,sofia,23,slovene,0,78469,4
472,47,33,sofia,23,slovene,0,78469,4
899,92,26,sofia,23,slovene,0,78469,4
653,103,43,sofia,23,slovene,0,78469,4
802,87,25,sofia,23,slovene,0,78469,4
590,86,33,sofia,23,slovene,0,78469,4
470,68,21,sofia,23,slovene,0,78469,4
608,91,34,sofia,23,slovene,0,78469,4
968,107,30,sofia,23,slovene,0,78469,4
554,47,24,sofia,23,slovene,0,78469,4
416,105,0,sofia,5,slovene,1,78451,2
883,168,4,sofia,5,slovene,1,78451,2
203,123,6,sofia,5,slovene,1,78451,2
984,63,0,sofia,5,slovene,1,78451,2
968,179,4,sofia,5,slovene,1,78451,2
287,233,5,sofia,5,slovene,1,78451,2
337,103,0,sofia,5,slovene,1,78451,2
601,106,2,sofia,5,slovene,1,78451,2
574,65,0,sofia,5,slovene,1,78451,2
764,67,0,sofia,5,slovene,1,78451,2
802,87,0,sofia,5,slovene,1,78451,2
4,45,0,sofia,5,slovene,1,78451,2
208,66,0,sofia,5,slovene,1,78451,2
190,57,0,sofia,5,slovene,1,78451,2
544,66,0,sofia,5,slovene,1,78451,2
109,104,5,sofia,5,slovene,1,78451,2
542,66,0,sofia,5,slovene,1,78451,2
353,45,13,sofia,5,slovene,1,78451,2
553,102,0,sofia,5,slovene,1,78451,2
272,50,0,sofia,5,slovene,1,78451,2
649,201,5,sofia,5,slovene,1,78451,2
578,121,15,sofia,5,slovene,1,78451,2
181,106,4,sofia,5,slovene,1,78451,2
201,98,5,sofia,5,slovene,1,78451,2
665,70,9,sofia,5,slovene,1,78451,2
472,47,0,sofia,5,slovene,1,78451,2
143,60,6,sofia,5,slovene,1,78451,2
25,243,5,sofia,5,slovene,1,78451,2
814,241,5,sofia,5,slovene,1,78451,2
923,56,0,sofia,5,slovene,1,78451,2
597,254,5,sofia,5,slovene,1,78451,2
302,63,0,sofia,5,slovene,1,78451,2
13,62,0,sofia,5,slovene,1,78451,2
145,104,5,sofia,5,slovene,1,78451,2
383,46,0,sofia,5,slovene,1,78451,2
862,79,4,sofia,5,slovene,1,78451,2
683,91,0,sofia,5,slovene,1,78451,2
637,65,0,sofia,5,slovene,1,78451,2
590,88,0,sofia,5,slovene,1,78451,2
262,103,0,sofia,5,slovene,1,78451,2
107,49,0,sofia,5,slovene,1,78451,2
899,103,5,sofia,5,slovene,1,78451,2
608,106,6,sofia,5,slovene,1,78451,2
852,49,0,sofia,5,slovene,1,78451,2
815,251,5,sofia,5,slovene,1,78451,2
141,91,0,sofia,5,slovene,1,78451,2
137,47,0,sofia,5,slovene,1,78451,2
304,92,15,sofia,5,slovene,1,78451,2
44,57,0,sofia,5,slovene,1,78451,2
871,89,0,sofia,5,slovene,1,78451,2
554,47,0,sofia,5,slovene,1,78451,2
270,123,8,sofia,5,slovene,1,78451,2
899,103,8,sofia,8,slovene,0,78454,3
141,91,0,sofia,8,slovene,0,78454,3
353,45,14,sofia,8,slovene,0,78454,3
337,103,4,sofia,8,slovene,0,78454,3
107,49,0,sofia,8,slovene,0,78454,3
814,241,8,sofia,8,slovene,0,78454,3
25,243,8,sofia,8,slovene,0,78454,3
665,70,10,sofia,8,slovene,0,78454,3
815,201,8,sofia,8,slovene,0,78454,3
44,57,0,sofia,8,slovene,0,78454,3
4,45,0,sofia,8,slovene,0,78454,3
203,123,10,sofia,8,slovene,0,78454,3
383,46,0,sofia,8,slovene,0,78454,3
968,179,6,sofia,8,slovene,0,78454,3
649,201,8,sofia,8,slovene,0,78454,3
287,189,10,sofia,8,slovene,0,78454,3
883,136,7,sofia,8,slovene,0,78454,3
270,123,12,sofia,8,slovene,0,78454,3
262,103,0,sofia,8,slovene,0,78454,3
871,89,0,sofia,8,slovene,0,78454,3
653,129,9,sofia,8,slovene,0,78454,3
553,102,0,sofia,8,slovene,0,78454,3
984,63,0,sofia,8,slovene,0,78454,3
190,57,0,sofia,8,slovene,0,78454,3
683,91,1,sofia,8,slovene,0,78454,3
542,66,0,sofia,8,slovene,0,78454,3
302,63,1,sofia,8,slovene,0,78454,3
862,79,6,sofia,8,slovene,0,78454,3
554,47,0,sofia,8,slovene,0,78454,3
764,67,0,sofia,8,slovene,0,78454,3
137,47,0,sofia,8,slovene,0,78454,3
923,56,2,sofia,8,slovene,0,78454,3
472,47,0,sofia,8,slovene,0,78454,3
637,65,2,sofia,8,slovene,0,78454,3
470,76,6,sofia,8,slovene,0,78454,3
304,92,21,sofia,8,slovene,0,78454,3
578,121,17,sofia,8,slovene,0,78454,3
574,65,0,sofia,8,slovene,0,78454,3
608,106,8,sofia,8,slovene,0,78454,3
459,99,8,sofia,8,slovene,0,78454,3
13,62,0,sofia,8,slovene,0,78454,3
208,66,0,sofia,8,slovene,0,78454,3
143,60,12,sofia,8,slovene,0,78454,3
802,87,0,sofia,8,slovene,0,78454,3
601,106,3,sofia,8,slovene,0,78454,3
145,104,8,sofia,8,slovene,0,78454,3
416,105,5,sofia,8,slovene,0,78454,3
852,49,3,sofia,8,slovene,0,78454,3
109,104,8,sofia,8,slovene,0,78454,3
597,254,8,sofia,8,slovene,0,78454,3
272,50,0,sofia,8,slovene,0,78454,3
590,88,0,sofia,8,slovene,0,78454,3
201,98,8,sofia,8,slovene,0,78454,3
544,66,0,sofia,8,slovene,0,78454,3
181,106,11,sofia,8,slovene,0,78454,3
649,137,46,sofia,19,slovene,1,86000,3
923,56,15,sofia,19,slovene,1,86000,3
181,83,44,sofia,19,slovene,1,86000,3
553,102,12,sofia,19,slovene,1,86000,3
141,91,22,sofia,19,slovene,1,86000,3
653,107,29,sofia,19,slovene,1,86000,3
337,84,23,sofia,19,slovene,1,86000,3
416,98,24,sofia,19,slovene,1,86000,3
287,170,35,sofia,19,slovene,1,86000,3
353,45,18,sofia,19,slovene,1,86000,3
470,76,15,sofia,19,slovene,1,86000,3
665,70,14,sofia,19,slovene,1,86000,3
637,64,15,sofia,19,slovene,1,86000,3
542,66,2,sofia,19,slovene,1,86000,3
304,92,46,sofia,19,slovene,1,86000,3
270,123,27,sofia,19,slovene,1,86000,3
815,170,37,sofia,19,slovene,1,86000,3
968,130,21,sofia,19,slovene,1,86000,3
574,65,9,sofia,19,slovene,1,86000,3
578,121,26,sofia,19,slovene,1,86000,3
554,47,3,sofia,19,slovene,1,86000,3
590,88,20,sofia,19,slovene,1,86000,3
472,47,15,sofia,19,slovene,1,86000,3
145,93,20,sofia,19,slovene,1,86000,3
201,86,20,sofia,19,slovene,1,86000,3
4,45,0,sofia,19,slovene,1,86000,3
109,97,20,sofia,19,slovene,1,86000,3
984,63,8,sofia,19,slovene,1,86000,3
190,57,6,sofia,19,slovene,1,86000,3
459,92,20,sofia,19,slovene,1,86000,3
883,114,27,sofia,19,slovene,1,86000,3
862,71,16,sofia,19,slovene,1,86000,3
44,57,6,sofia,19,slovene,1,86000,3
203,123,25,sofia,19,slovene,1,86000,3
107,48,10,sofia,19,slovene,1,86000,3
25,158,35,sofia,19,slovene,1,86000,3
544,66,3,sofia,19,slovene,1,86000,3
601,69,14,sofia,19,slovene,1,86000,3
272,50,2,sofia,19,slovene,1,86000,3
13,58,11,sofia,19,slovene,1,86000,3
597,171,34,sofia,19,slovene,1,86000,3
802,87,13,sofia,19,slovene,1,86000,3
208,66,8,sofia,19,slovene,1,86000,3
137,47,5,sofia,19,slovene,1,86000,3
383,46,28,sofia,19,slovene,1,86000,3
302,61,38,sofia,19,slovene,1,86000,3
814,151,35,sofia,19,slovene,1,86000,3
143,60,31,sofia,19,slovene,1,86000,3
852,49,12,sofia,19,slovene,1,86000,3
608,91,26,sofia,19,slovene,1,86000,3
683,91,28,sofia,19,slovene,1,86000,3
143,60,10,sofia,7,slovene,1,86029,1
203,123,8,sofia,7,slovene,1,86029,1
597,254,7,sofia,7,slovene,1,86029,1
862,79,5,sofia,7,slovene,1,86029,1
968,179,5,sofia,7,slovene,1,86029,1
542,66,0,sofia,7,slovene,1,86029,1
852,49,2,sofia,7,slovene,1,86029,1
181,106,8,sofia,7,slovene,1,86029,1
190,57,0,sofia,7,slovene,1,86029,1
141,91,0,sofia,7,slovene,1,86029,1
