hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
282,135,50,valletta,30,latvian,1,124719,3
237,145,56,valletta,30,latvian,1,124719,3
480,71,22,valletta,30,latvian,1,124719,3
512,182,67,valletta,30,latvian,1,124719,3
501,75,22,valletta,30,latvian,1,124719,3
377,129,64,valletta,30,latvian,1,124719,3
134,78,22,valletta,30,latvian,1,124719,3
376,162,93,valletta,30,latvian,1,124719,3
861,176,73,valletta,30,latvian,1,124719,3
424,168,74,valletta,30,latvian,1,124719,3
985,70,54,valletta,30,latvian,1,124719,3
746,157,71,valletta,30,latvian,1,124719,3
209,72,46,valletta,30,latvian,1,124719,3
55,106,41,valletta,30,latvian,1,124719,3
160,94,21,valletta,30,latvian,1,124719,3
832,132,48,valletta,30,latvian,1,124719,3
81,129,62,valletta,30,latvian,1,124719,3
106,144,52,valletta,30,latvian,1,124719,3
389,108,38,valletta,30,latvian,1,124719,3
200,133,66,valletta,30,latvian,1,124719,3
504,158,74,valletta,30,latvian,1,124719,3
718,140,56,valletta,30,latvian,1,124719,3
598,143,55,valletta,30,latvian,1,124719,3
639,165,76,valletta,30,latvian,1,124719,3
719,155,97,valletta,30,latvian,1,124719,3
476,126,33,valletta,30,latvian,1,124719,3
965,136,56,valletta,30,latvian,1,124719,3
371,96,46,valletta,30,latvian,1,124719,3
592,251,99,valletta,30,latvian,1,124719,3
360,163,62,valletta,30,latvian,1,124719,3
709,140,52,valletta,30,latvian,1,124719,3
643,75,25,valletta,30,latvian,1,124719,3
244,279,88,valletta,30,latvian,1,124719,3
749,103,23,valletta,30,latvian,1,124719,3
754,233,108,valletta,30,latvian,1,124719,3
988,143,49,valletta,30,latvian,1,124719,3
325,102,23,valletta,30,latvian,1,124719,3
295,73,21,valletta,30,latvian,1,124719,3
334,80,23,valletta,30,latvian,1,124719,3
404,141,20,valletta,30,latvian,1,124719,3
400,99,55,valletta,30,latvian,1,124719,3
521,68,24,valletta,30,latvian,1,124719,3
905,129,65,valletta,30,latvian,1,124719,3
466,138,56,valletta,30,latvian,1,124719,3
859,134,58,valletta,30,latvian,1,124719,3
491,160,85,valletta,30,latvian,1,124719,3
732,163,93,valletta,30,latvian,1,124719,3
363,136,50,valletta,30,latvian,1,124719,3
371,100,10,valletta,18,latvian,1,166200,1
501,82,7,valletta,18,latvian,1,166200,1
988,167,18,valletta,18,latvian,1,166200,1
905,165,17,valletta,18,latvian,1,166200,1
480,76,8,valletta,18,latvian,1,166200,1
746,163,26,valletta,18,latvian,1,166200,1
209,72,0,valletta,18,latvian,1,166200,1
377,141,22,valletta,18,latvian,1,166200,1
732,178,25,valletta,18,latvian,1,166200,1
639,172,25,valletta,18,latvian,1,166200,1
504,193,25,valletta,18,latvian,1,166200,1
244,299,30,valletta,18,latvian,1,166200,1
749,125,6,valletta,18,latvian,1,166200,1
859,140,15,valletta,18,latvian,1,166200,1
965,165,18,valletta,18,latvian,1,166200,1
55,124,13,valletta,18,latvian,1,166200,1
106,156,18,valletta,18,latvian,1,166200,1
334,80,9,valletta,18,latvian,1,166200,1
404,141,0,valletta,18,latvian,1,166200,1
491,160,36,valletta,18,latvian,1,166200,1
363,147,18,valletta,18,latvian,1,166200,1
643,78,6,valletta,18,latvian,1,166200,1
719,155,34,valletta,18,latvian,1,166200,1
985,70,31,valletta,18,latvian,1,166200,1
134,80,3,valletta,18,latvian,1,166200,1
754,254,37,valletta,18,latvian,1,166200,1
709,140,2,valletta,18,latvian,1,166200,1
861,191,21,valletta,18,latvian,1,166200,1
512,196,20,valletta,18,latvian,1,166200,1
237,152,20,valletta,18,latvian,1,166200,1
160,102,8,valletta,18,latvian,1,166200,1
476,126,22,valletta,18,latvian,1,166200,1
389,121,8,valletta,18,latvian,1,166200,1
466,169,18,valletta,18,latvian,1,166200,1
424,182,22,valletta,18,latvian,1,166200,1
295,74,3,valletta,18,latvian,1,166200,1
400,99,34,valletta,18,latvian,1,166200,1
325,102,3,valletta,18,latvian,1,166200,1
521,87,7,valletta,18,latvian,1,166200,1
376,162,37,valletta,18,latvian,1,166200,1
832,144,16,valletta,18,latvian,1,166200,1
598,143,0,valletta,18,latvian,1,166200,1
360,199,25,valletta,18,latvian,1,166200,1
592,321,26,valletta,18,latvian,1,166200,1
718,146,21,valletta,18,latvian,1,166200,1
200,133,36,valletta,18,latvian,1,166200,1
237,145,76,valletta,35,latvian,1,166258,1
376,162,115,valletta,35,latvian,1,166258,1
55,106,60,valletta,35,latvian,1,166258,1
400,95,70,valletta,35,latvian,1,166258,1
504,152,111,valletta,35,latvian,1,166258,1
521,68,36,valletta,35,latvian,1,166258,1
859,134,72,valletta,35,latvian,1,166258,1
861,162,103,valletta,35,latvian,1,166258,1
244,249,139,valletta,35,latvian,1,166258,1
334,77,35,valletta,35,latvian,1,166258,1
389,100,59,valletta,35,latvian,1,166258,1
466,133,80,valletta,35,latvian,1,166258,1
295,71,31,valletta,35,latvian,1,166258,1
746,151,99,valletta,35,latvian,1,166258,1
200,133,80,valletta,35,latvian,1,166258,1
424,154,115,valletta,35,latvian,1,166258,1
360,163,105,valletta,35,latvian,1,166258,1
639,152,110,valletta,35,latvian,1,166258,1
749,103,31,valletta,35,latvian,1,166258,1
377,129,84,valletta,35,latvian,1,166258,1
905,129,91,valletta,35,latvian,1,166258,1
491,160,115,valletta,35,latvian,1,166258,1
325,100,33,valletta,35,latvian,1,166258,1
282,128,72,valletta,35,latvian,1,166258,1
988,130,74,valletta,35,latvian,1,166258,1
