hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
389,119,4,valletta,16,polish,0,78509,8
754,249,29,valletta,16,polish,0,78509,8
377,138,16,valletta,16,polish,0,78509,8
363,162,16,valletta,16,polish,0,78509,8
718,144,16,valletta,16,polish,0,78509,8
424,179,16,valletta,16,polish,0,78509,8
371,98,6,valletta,16,polish,0,78509,8
360,196,22,valletta,16,polish,0,78509,8
334,78,6,valletta,16,polish,0,78509,8
376,159,28,valletta,16,polish,0,78509,8
295,73,0,valletta,16,polish,0,78509,8
400,97,30,valletta,16,polish,0,78509,8
106,165,16,valletta,16,polish,0,78509,8
732,196,22,valletta,16,polish,0,78509,8
244,293,22,valletta,16,polish,0,78509,8
598,140,0,valletta,16,polish,0,78509,8
160,100,7,valletta,16,polish,0,78509,8
746,160,23,valletta,16,polish,0,78509,8
501,89,6,valletta,16,polish,0,78509,8
504,189,22,valletta,16,polish,0,78509,8
719,152,24,valletta,16,polish,0,78509,8
985,68,27,valletta,16,polish,0,78509,8
643,77,3,valletta,16,polish,0,78509,8
512,192,16,valletta,16,polish,0,78509,8
480,74,6,valletta,16,polish,0,78509,8
859,138,6,valletta,16,polish,0,78509,8
965,162,16,valletta,16,polish,0,78509,8
404,139,0,valletta,16,polish,0,78509,8
592,315,22,valletta,16,polish,0,78509,8
466,165,15,valletta,16,polish,0,78509,8
521,85,6,valletta,16,polish,0,78509,8
832,146,12,valletta,16,polish,0,78509,8
209,70,0,valletta,16,polish,0,78509,8
325,100,0,valletta,16,polish,0,78509,8
749,122,4,valletta,16,polish,0,78509,8
988,163,16,valletta,16,polish,0,78509,8
237,149,16,valletta,16,polish,0,78509,8
861,187,15,valletta,16,polish,0,78509,8
709,138,0,valletta,16,polish,0,78509,8
200,130,31,valletta,16,polish,0,78509,8
134,78,0,valletta,16,polish,0,78509,8
905,162,13,valletta,16,polish,0,78509,8
491,157,28,valletta,16,polish,0,78509,8
476,123,20,valletta,16,polish,0,78509,8
55,122,10,valletta,16,polish,0,78509,8
639,169,20,valletta,16,polish,0,78509,8
81,127,92,valletta,36,polish,1,85877,1
643,74,36,valletta,36,polish,1,85877,1
905,127,96,valletta,36,polish,1,85877,1
754,229,165,valletta,36,polish,1,85877,1
719,152,137,valletta,36,polish,1,85877,1
592,227,155,valletta,36,polish,1,85877,1
282,126,79,valletta,36,polish,1,85877,1
360,160,113,valletta,36,polish,1,85877,1
466,130,86,valletta,36,polish,1,85877,1
639,149,119,valletta,36,polish,1,85877,1
988,128,80,valletta,36,polish,1,85877,1
832,130,66,valletta,36,polish,1,85877,1
