hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
626,149,8,vienna,14,cypriot,1,86036,1
682,150,0,vienna,14,cypriot,1,86036,1
278,116,0,vienna,14,cypriot,1,86036,1
456,186,12,vienna,14,cypriot,1,86036,1
382,153,16,vienna,14,cypriot,1,86036,1
613,231,13,vienna,14,cypriot,1,86036,1
977,119,24,vienna,14,cypriot,1,86036,1
255,202,20,vienna,14,cypriot,1,86036,1
11,184,21,vienna,14,cypriot,1,86036,1
250,362,17,vienna,14,cypriot,1,86036,1
775,83,0,vienna,14,cypriot,1,86036,1
210,104,16,vienna,14,cypriot,1,86036,1
924,180,14,vienna,14,cypriot,1,86036,1
810,114,10,vienna,14,cypriot,1,86036,1
336,134,5,vienna,14,cypriot,1,86036,1
661,130,10,vienna,14,cypriot,1,86036,1
354,96,10,vienna,14,cypriot,1,86036,1
662,239,12,vienna,14,cypriot,1,86036,1
635,142,9,vienna,14,cypriot,1,86036,1
839,180,37,vienna,14,cypriot,1,86036,1
315,266,32,vienna,14,cypriot,1,86036,1
37,194,20,vienna,14,cypriot,1,86036,1
372,128,11,vienna,14,cypriot,1,86036,1
167,84,0,vienna,14,cypriot,1,86036,1
848,202,19,vienna,14,cypriot,1,86036,1
730,172,34,vienna,14,cypriot,1,86036,1
784,113,0,vienna,14,cypriot,1,86036,1
8,143,10,vienna,14,cypriot,1,86036,1
693,265,37,vienna,14,cypriot,1,86036,1
928,87,1,vienna,14,cypriot,1,86036,1
171,90,10,vienna,14,cypriot,1,86036,1
236,84,6,vienna,14,cypriot,1,86036,1
226,112,0,vienna,14,cypriot,1,86036,1
692,310,18,vienna,14,cypriot,1,86036,1
152,210,20,vienna,14,cypriot,1,86036,1
403,352,20,vienna,14,cypriot,1,86036,1
940,181,8,vienna,14,cypriot,1,86036,1
511,159,34,vienna,14,cypriot,1,86036,1
699,134,9,vienna,14,cypriot,1,86036,1
168,327,19,vienna,14,cypriot,1,86036,1
646,111,17,vienna,14,cypriot,1,86036,1
70,187,23,vienna,14,cypriot,1,86036,1
713,231,12,vienna,14,cypriot,1,86036,1
457,154,0,vienna,14,cypriot,1,86036,1
15,299,25,vienna,14,cypriot,1,86036,1
231,156,0,vienna,14,cypriot,1,86036,1
426,144,7,vienna,14,cypriot,1,86036,1
927,225,14,vienna,14,cypriot,1,86036,1
877,85,0,vienna,14,cypriot,1,86036,1
846,267,10,vienna,14,cypriot,1,86036,1
239,350,20,vienna,14,cypriot,1,86036,1
428,105,25,vienna,14,cypriot,1,86036,1
462,84,0,vienna,14,cypriot,1,86036,1
549,111,1,vienna,14,cypriot,1,86036,1
610,78,13,vienna,14,cypriot,1,86036,1
962,150,0,vienna,14,cypriot,1,86036,1
57,157,0,vienna,14,cypriot,1,86036,1
268,132,10,vienna,14,cypriot,1,86036,1
173,115,0,vienna,14,cypriot,1,86036,1
368,79,0,vienna,14,cypriot,1,86036,1
931,244,14,vienna,14,cypriot,1,86036,1
979,184,14,vienna,14,cypriot,1,86036,1
184,329,20,vienna,14,cypriot,1,86036,1
890,83,0,vienna,14,cypriot,1,86036,1
565,312,31,vienna,14,cypriot,1,86036,1
128,261,11,vienna,14,cypriot,1,86036,1
446,112,0,vienna,14,cypriot,1,86036,1
801,241,14,vienna,14,cypriot,1,86036,1
875,111,2,vienna,14,cypriot,1,86036,1
63,151,31,vienna,14,cypriot,1,86036,1
704,113,0,vienna,14,cypriot,1,86036,1
703,172,14,vienna,14,cypriot,1,86036,1
343,84,10,vienna,14,cypriot,1,86036,1
275,132,0,vienna,14,cypriot,1,86036,1
530,105,7,vienna,14,cypriot,1,86036,1
292,220,18,vienna,14,cypriot,1,86036,1
753,153,25,vienna,14,cypriot,1,86036,1
195,151,0,vienna,14,cypriot,1,86036,1
666,85,8,vienna,14,cypriot,1,86036,1
996,130,11,vienna,14,cypriot,1,86036,1
179,116,2,vienna,14,cypriot,1,86036,1
943,217,19,vienna,14,cypriot,1,86036,1
