hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
63,157,0,vienna,2,finnish,0,78448,6
37,286,1,vienna,2,finnish,0,78448,6
646,114,0,vienna,2,finnish,0,78448,6
268,134,0,vienna,2,finnish,0,78448,6
428,136,0,vienna,2,finnish,0,78448,6
652,145,1,vienna,2,finnish,0,78448,6
255,206,3,vienna,2,finnish,0,78448,6
64,87,0,vienna,2,finnish,0,78448,6
275,134,0,vienna,2,finnish,0,78448,6
168,411,2,vienna,2,finnish,0,78448,6
457,157,0,vienna,2,finnish,0,78448,6
666,87,0,vienna,2,finnish,0,78448,6
210,134,3,vienna,2,finnish,0,78448,6
354,98,5,vienna,2,finnish,0,78448,6
11,219,3,vienna,2,finnish,0,78448,6
68,184,6,vienna,2,finnish,0,78448,6
801,301,1,vienna,2,finnish,0,78448,6
239,447,2,vienna,2,finnish,0,78448,6
179,119,0,vienna,2,finnish,0,78448,6
219,281,1,vienna,2,finnish,0,78448,6
943,246,2,vienna,2,finnish,0,78448,6
167,85,0,vienna,2,finnish,0,78448,6
116,134,0,vienna,2,finnish,0,78448,6
524,319,1,vienna,2,finnish,0,78448,6
613,289,1,vienna,2,finnish,0,78448,6
530,107,3,vienna,2,finnish,0,78448,6
220,94,2,vienna,2,finnish,0,78448,6
753,162,0,vienna,2,finnish,0,78448,6
977,121,5,vienna,2,finnish,0,78448,6
877,87,0,vienna,2,finnish,0,78448,6
833,156,0,vienna,2,finnish,0,78448,6
839,199,4,vienna,2,finnish,0,78448,6
927,283,1,vienna,2,finnish,0,78448,6
713,304,1,vienna,2,finnish,0,78448,6
662,304,1,vienna,2,finnish,0,78448,6
511,239,3,vienna,2,finnish,0,78448,6
846,312,1,vienna,2,finnish,0,78448,6
195,154,0,vienna,2,finnish,0,78448,6
703,175,2,vienna,2,finnish,0,78448,6
231,159,0,vienna,2,finnish,0,78448,6
962,153,0,vienna,2,finnish,0,78448,6
171,92,0,vienna,2,finnish,0,78448,6
236,85,1,vienna,2,finnish,0,78448,6
173,118,0,vienna,2,finnish,0,78448,6
226,115,0,vienna,2,finnish,0,78448,6
152,237,4,vienna,2,finnish,0,78448,6
462,86,0,vienna,2,finnish,0,78448,6
755,85,0,vienna,2,finnish,0,78448,6
848,317,1,vienna,2,finnish,0,78448,6
996,133,1,vienna,2,finnish,0,78448,6
336,136,0,vienna,2,finnish,0,78448,6
128,304,1,vienna,2,finnish,0,78448,6
343,86,0,vienna,2,finnish,0,78448,6
549,114,0,vienna,2,finnish,0,78448,6
810,193,1,vienna,2,finnish,0,78448,6
693,271,21,vienna,2,finnish,0,78448,6
919,81,0,vienna,2,finnish,0,78448,6
565,318,7,vienna,2,finnish,0,78448,6
535,156,0,vienna,2,finnish,0,78448,6
635,177,1,vienna,2,finnish,0,78448,6
245,146,2,vienna,2,finnish,0,78448,6
315,316,4,vienna,2,finnish,0,78448,6
35,89,0,vienna,2,finnish,0,78448,6
979,187,2,vienna,2,finnish,0,78448,6
57,160,0,vienna,2,finnish,0,78448,6
292,224,1,vienna,2,finnish,0,78448,6
278,119,0,vienna,2,finnish,0,78448,6
446,115,0,vienna,2,finnish,0,78448,6
675,108,7,vienna,2,finnish,0,78448,6
33,182,0,vienna,2,finnish,0,78448,6
924,184,0,vienna,2,finnish,0,78448,6
372,131,1,vienna,2,finnish,0,78448,6
368,81,0,vienna,2,finnish,0,78448,6
931,312,1,vienna,2,finnish,0,78448,6
70,190,6,vienna,2,finnish,0,78448,6
775,84,0,vienna,2,finnish,0,78448,6
730,224,0,vienna,2,finnish,0,78448,6
692,395,2,vienna,2,finnish,0,78448,6
494,222,0,vienna,2,finnish,0,78448,6
8,146,4,vienna,2,finnish,0,78448,6
940,185,0,vienna,2,finnish,0,78448,6
875,114,0,vienna,2,finnish,0,78448,6
661,133,0,vienna,2,finnish,0,78448,6
704,116,0,vienna,2,finnish,0,78448,6
626,189,1,vienna,2,finnish,0,78448,6
438,116,0,vienna,2,finnish,0,78448,6
928,89,0,vienna,2,finnish,0,78448,6
266,84,0,vienna,2,finnish,0,78448,6
87,293,1,vienna,2,finnish,0,78448,6
672,306,1,vienna,2,finnish,0,78448,6
98,160,0,vienna,2,finnish,0,78448,6
184,413,2,vienna,2,finnish,0,78448,6
610,80,6,vienna,2,finnish,0,78448,6
250,447,2,vienna,2,finnish,0,78448,6
382,189,0,vienna,2,finnish,0,78448,6
920,111,0,vienna,2,finnish,0,78448,6
682,153,0,vienna,2,finnish,0,78448,6
15,418,2,vienna,2,finnish,0,78448,6
890,84,0,vienna,2,finnish,0,78448,6
426,180,1,vienna,2,finnish,0,78448,6
784,116,0,vienna,2,finnish,0,78448,6
403,449,1,vienna,2,finnish,0,78448,6
239,447,3,vienna,3,finnish,1,78496,10
810,193,1,vienna,3,finnish,1,78496,10
195,154,0,vienna,3,finnish,1,78496,10
462,86,0,vienna,3,finnish,1,78496,10
704,116,0,vienna,3,finnish,1,78496,10
755,85,0,vienna,3,finnish,1,78496,10
210,134,4,vienna,3,finnish,1,78496,10
428,136,0,vienna,3,finnish,1,78496,10
35,89,0,vienna,3,finnish,1,78496,10
962,153,0,vienna,3,finnish,1,78496,10
703,175,3,vienna,3,finnish,1,78496,10
179,119,0,vienna,3,finnish,1,78496,10
635,177,1,vienna,3,finnish,1,78496,10
890,84,0,vienna,3,finnish,1,78496,10
403,449,2,vienna,3,finnish,1,78496,10
920,111,0,vienna,3,finnish,1,78496,10
168,411,3,vienna,3,finnish,1,78496,10
833,156,0,vienna,3,finnish,1,78496,10
877,87,0,vienna,3,finnish,1,78496,10
