hotel_id,price,stock,city,date,language,mobile,avatar_id,order_requests
279,53,24,vilnius,29,czech,0,85948,1
161,112,74,vilnius,29,czech,0,85948,1
187,131,78,vilnius,29,czech,0,85948,1
687,110,48,vilnius,29,czech,0,85948,1
320,114,44,vilnius,29,czech,0,85948,1
72,58,22,vilnius,29,czech,0,85948,1
887,109,44,vilnius,29,czech,0,85948,1
605,132,61,vilnius,29,czech,0,85948,1
950,73,21,vilnius,29,czech,0,85948,1
125,56,26,vilnius,29,czech,0,85948,1
136,84,40,vilnius,29,czech,0,85948,1
104,58,46,vilnius,29,czech,0,85948,1
409,89,44,vilnius,29,czech,0,85948,1
976,84,21,vilnius,29,czech,0,85948,1
215,82,18,vilnius,29,czech,0,85948,1
667,108,45,vilnius,29,czech,0,85948,1
516,186,108,vilnius,29,czech,0,85948,1
183,125,84,vilnius,29,czech,0,85948,1
502,82,41,vilnius,29,czech,0,85948,1
820,137,64,vilnius,29,czech,0,85948,1
490,112,44,vilnius,29,czech,0,85948,1
394,62,41,vilnius,29,czech,0,85948,1
935,61,21,vilnius,29,czech,0,85948,1
956,93,34,vilnius,29,czech,0,85948,1
89,78,38,vilnius,29,czech,0,85948,1
288,115,59,vilnius,29,czech,0,85948,1
76,59,14,vilnius,29,czech,0,85948,1
881,131,83,vilnius,29,czech,0,85948,1
819,122,97,vilnius,29,czech,0,85948,1
593,58,48,vilnius,29,czech,0,85948,1
632,76,24,vilnius,29,czech,0,85948,1
607,124,45,vilnius,29,czech,0,85948,1
503,173,113,vilnius,29,czech,0,85948,1
155,84,38,vilnius,29,czech,0,85948,1
40,109,63,vilnius,29,czech,0,85948,1
355,81,48,vilnius,29,czech,0,85948,1
408,105,58,vilnius,29,czech,0,85948,1
356,78,54,vilnius,29,czech,0,85948,1
896,58,34,vilnius,29,czech,0,85948,1
217,128,80,vilnius,29,czech,0,85948,1
340,73,21,vilnius,29,czech,0,85948,1
74,113,56,vilnius,29,czech,0,85948,1
59,113,47,vilnius,29,czech,0,85948,1
198,114,46,vilnius,29,czech,0,85948,1
